AUD,CAD,CHF,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,NOK,NZD,PLN,SEK,SGD,ZAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1.6202,1.5272,1.3714,29.779,6.3195,0.84825,0.60319,7.7472,213.32,113.44,1186.4,7.5112,1.8856,3.4534,8.0326,1.6587,5.8833,,,,,,,,,,,,,,,,,
1.6068,1.5237,1.3675,29.616,6.3185,0.8481799999999999,0.60407,7.7473,212.72,111.08,1164.5,7.4423,1.8669,3.4135,7.975,1.6671,5.7655,,,,,,,,,,,,,,,,,
1.6027,1.5082,1.3724,29.677,6.3401,0.85157,0.6025699999999999,7.7501,213.46,111.91,1157.7,7.4372,1.8641,3.4118,7.9239,1.6775,5.7317,,,,,,,,,,,,,,,,,
1.5882,1.5132,1.3897,29.991,6.3988,0.8597,0.60682,7.7485,215.0,111.27,1149.6,7.4188,1.851,3.4530000000000003,7.892,1.6709,5.8703,,,,,,,,,,,,,,,,,
1.5787,1.5133,1.3842,29.967,6.3842,0.8577100000000001,0.60846,7.7453,214.56,111.58,1172.2,7.3677,1.849,3.462,7.8609,1.6757,5.82,,,,,,,,,,,,,,,,,
1.5675,1.5095,1.392,30.403,6.4338,0.8643799999999999,0.60887,7.7496,215.84,109.2,1172.7,7.3978,1.8374,3.4852,7.8646,1.6733,5.87,,,,,,,,,,,,,,,,,
1.5703,1.5097,1.3951,30.599,6.4609,0.86806,0.61337,7.747000000000001,216.32,112.53,1174.8,7.474,1.8411,3.5009,7.8954,1.6791,6.04,,,,,,,,,,,,,,,,,
1.5855,1.5432,1.3565,30.75,6.3379,0.8515,0.6032,7.7493,217.14,112.3,1173.3,7.4481,1.8515,3.5791,7.7827,1.6872,6.1770000000000005,,,,,,,,,,,,,,,,,
1.575,1.5195,1.3674,30.634,6.3878,0.85815,0.60602,7.747999999999998,217.83,113.91,1186.1,7.4869,1.851,3.5472,7.8392,1.6833,6.12,,,,,,,,,,,,,,,,,
1.5816,1.5308,1.3748,30.845,6.403,0.86014,0.60545,7.75,217.91,113.31,1183.4,7.4961,1.8564,3.6126,7.8763,1.6833,6.21,,,,,,,,,,,,,,,,,
1.5753,1.5257,1.3782,30.671,6.4098,0.86118,0.6039399999999999,7.7458,215.97,114.45,1180.9,7.4556,1.8663,3.5022,7.8307,1.6835,5.9935,,,,,,,,,,,,,,,,,
1.575,1.5271,1.3775,30.772,6.4032,0.86088,0.6026199999999999,7.7431,215.77,113.76,1174.7,7.4294,1.8607,3.5273,7.7518,1.6805,6.04,,,,,,,,,,,,,,,,,
1.5606,1.5228,1.3844,30.905,6.4257,0.86393,0.60596,7.7413,215.97,113.68,1165.6,7.4298,1.8574,3.5289,7.7447,1.6759,6.0,,,,,,,,,,,,,,,,,
1.5703,1.5148,1.3852,31.161,6.428,0.86415,0.6069,7.7469,216.19,112.63,1172.5,7.4361,1.857,3.567,7.7281,1.6737,6.0315,,,,,,,,,,,,,,,,,
1.5756,1.5142,1.3818,31.371,6.4297,0.8645299999999999,0.6056,7.7581,216.27,114.01,1180.8,7.4544,1.8604,3.5953,7.7903,1.6825,6.0776,,,,,,,,,,,,,,,,,
1.5812,1.5211,1.3783,31.259,6.4198,0.86326,0.60333,7.7491,216.22,114.03,1179.4,7.4348,1.8697,3.5918,7.7175,1.6883,6.0636,,,,,,,,,,,,,,,,,
1.5879,1.5204,1.3834,31.614,6.4203,0.86341,0.60231,7.7541,216.45,113.81,1174.7,7.4361,1.8709,3.6122,7.7025,1.6847,6.04,,,,,,,,,,,,,,,,,
1.5884,1.5202,1.3949,31.628,6.4496,0.8673799999999999,0.60439,7.75,216.91,114.42,1175.0,7.4581,1.873,3.6073,7.7041,1.6867,6.0427,,,,,,,,,,,,,,,,,
1.6005,1.5227,1.4136,31.93,6.517,0.8764200000000001,0.60719,7.75,218.53,115.91,1175.4,7.511,1.8725,3.6267,7.7695,1.6906,6.06,,,,,,,,,,,,,,,,,
1.5888,1.5162,1.4163,32.35,6.5319,0.8784299999999999,0.6069899999999999,7.747000000000001,218.94,116.04,1174.7,7.5356,1.8541,3.6551,7.8004,1.6895,6.0439,,,,,,,,,,,,,,,,,
1.5772,1.5102,1.419,32.759,6.5587,0.8819899999999999,0.60893,7.7473,219.59,115.43,1174.5,7.5318,1.8399,3.7361,7.8144,1.6907,6.035,,,,,,,,,,,,,,,,,
1.5649,1.5065,1.4115,32.985,6.5598,0.88207,0.6075699999999999,7.7489,219.63,112.64,1170.0,7.5721,1.8312,3.7308,7.8306,1.686,6.01,,,,,,,,,,,,,,,,,
1.5532,1.5128,1.4091,32.785,6.5601,0.88207,0.61083,7.7511,219.63,111.9,1170.7,7.6078,1.8141,3.7059,7.8636,1.6876,6.01,,,,,,,,,,,,,,,,,
1.5574,1.505,1.4221,32.991,6.6023,0.88786,0.6120899999999999,7.7507,220.87,113.34,1170.6,7.6734,1.8167,3.6857,7.9011,1.6877,6.0305,,,,,,,,,,,,,,,,,
1.5315,1.4847,1.418,33.09,6.585,0.8855799999999999,0.6097199999999999,7.7506,220.43,113.31,1170.1,7.6802,1.8093,3.6976,7.8569,1.6888,6.0325,,,,,,,,,,,,,,,,,
1.5321,1.4872,1.4243,33.532,6.6117,0.8892100000000001,0.61248,7.7489,221.09,113.66,1175.7,7.6649,1.7917,3.7309,7.8757,1.6897,5.954,,,,,,,,,,,,,,,,,
1.5484,1.4951,1.4117,33.846,6.561,0.8823799999999999,0.6098100000000001,7.7509,220.37,114.63,1175.6,7.632999999999999,1.801,3.7554,7.8593,1.6926,6.0875,,,,,,,,,,,,,,,,,
1.5490000000000002,1.494,1.4074,33.623000000000005,6.555,0.8816799999999999,0.61312,7.7485,221.35,115.26,1177.7,7.6199,1.8118,3.7425,7.876,1.693,6.1154,,,,,,,,,,,,,,,,,
1.5406,1.4896,1.4114,33.54,6.5724,0.88402,0.6166,7.7529,220.69,114.35,1175.7,7.641,1.8106,3.7588,7.8845,1.6888,6.0621,,,,,,,,,,,,,,,,,
1.5527,1.4899,1.4223,33.671,6.6121,0.88936,0.61517,7.752000000000002,221.74,114.66,1175.9,7.6552,1.8276,3.7622,7.9425,1.6931,6.0975,,,,,,,,,,,,,,,,,
1.5441,1.4932,1.4193,33.989000000000004,6.6158,0.88984,0.61354,7.7492,222.16,115.06,1175.4,7.6464,1.8269,3.7918,7.9031,1.6883,6.1238,,,,,,,,,,,,,,,,,
1.5629,1.5038,1.4294,34.207,6.6524,0.8947700000000001,0.61328,7.749,223.3,117.95,1174.9,7.7134,1.866,3.8249,7.9214,1.6979,6.1917,,,,,,,,,,,,,,,,,
1.5774,1.5,1.4194,33.742,6.6072,0.88865,0.61077,7.7511,223.13,118.62,1175.8,7.7273,1.8591,3.8025,7.9152,1.6988,6.13,,,,,,,,,,,,,,,,,
1.5747,1.4922,1.4229,33.826,6.6193,0.89031,0.61173,7.7475,224.41,119.66,1181.8,7.78,1.8556,3.8141,7.9483,1.7004,6.19,,,,,,,,,,,,,,,,,
1.5679,1.4885,1.4317,33.838,6.66,0.8958200000000001,0.61256,7.7534,225.64,120.01,1205.2,7.8003,1.842,3.8152,7.9826,1.7081,6.2325,,,,,,,,,,,,,,,,,
1.5681,1.4875,1.4543,34.455,6.7636,0.90975,0.61763,7.7497,227.55,121.55,1216.8,7.9044,1.8556,3.8763,8.1036,1.7144,6.2327,,,,,,,,,,,,,,,,,
1.5630000000000002,1.4972,1.4545,34.504,6.7776,0.91166,0.61956,7.7327,227.82,121.38,1209.0,7.9082,1.8589,3.8662,8.1215,1.7188,6.228,,,,,,,,,,,,,,,,,
1.5824,1.5024,1.4442,34.422,6.7360000000000015,0.90604,0.62363,7.7462,228.53,121.28,1217.2,7.8409,1.8817,3.879,8.0742,1.7257,6.1494,,,,,,,,,,,,,,,,,
1.5924,1.4997,1.4418,34.443000000000005,6.7397,0.90654,0.62442,7.7478,228.95,120.45,1224.5,7.8837,1.8948,3.9027,8.1353,1.7281,6.1875,,,,,,,,,,,,,,,,,
1.6173,1.5142,1.4422,34.406,6.7475,0.90761,0.6238,7.7493,230.45,119.2,1224.0,7.893,1.9124,3.9465,8.1707,1.7213,6.1775,,,,,,,,,,,,,,,,,
1.6171,1.5091,1.45,34.198,6.7674,0.91025,0.62161,7.7498,231.69,119.36,1219.9,7.8714,1.9057,3.9208,8.1927,1.7243,6.1638,,,,,,,,,,,,,,,,,
1.6067,1.5252,1.4616,34.521,6.8288,0.91853,0.62129,7.7481,231.6,120.67,1224.4,7.9471,1.8922,3.969,8.253,1.7341,6.2383,,,,,,,,,,,,,,,,,
1.6014,1.5245,1.4612,34.454,6.8213,0.91752,0.61685,7.7453,233.07,121.28,1228.8,7.9342,1.8871,3.9793,8.2485,1.7347,6.2284,,,,,,,,,,,,,,,,,
1.61,1.5285,1.4617,34.528,6.8419,0.9203,0.62203,7.7467,234.33,123.25,1238.7,7.9289,1.9023,3.9659,8.2459,1.7352,6.2395,,,,,,,,,,,,,,,,,
1.5995,1.5219999999999998,1.4687,34.413000000000004,6.8603,0.92302,0.62184,7.7496,233.67,122.94,1241.7,7.9195,1.892,3.9219,8.2476,1.7285,6.2158,,,,,,,,,,,,,,,,,
1.5904,1.5151,1.4607,34.473,6.8135,0.91676,0.6212,7.7457,229.66,121.72,1237.2,7.8644,1.8714,3.9025,8.2032,1.7254,6.1532,,,,,,,,,,,,,,,,,
1.5765,1.514,1.4665,34.951,6.8424,0.92056,0.62174,7.7519,230.45,121.93,1235.8,7.8804,1.8737,3.931,8.2279,1.7322,6.1475,,,,,,,,,,,,,,,,,
1.5737,1.5162,1.4621,34.639,6.7863,0.91299,0.6159,7.7468,230.83,120.28,1232.7,7.8001,1.8681,3.9388,8.1188,1.7301,6.1625,,,,,,,,,,,,,,,,,
1.5741,1.5229,1.4665,34.738,6.8246,0.91819,0.61464,7.7512,232.18,120.28,1230.4,7.8055,1.8702,3.9528,8.1085,1.7365,6.1775,,,,,,,,,,,,,,,,,
1.5777,1.5238,1.4613,34.751,6.799,0.91475,0.6116,7.7473,231.74,119.65,1233.5,7.8014,1.8772,3.9329,8.106,1.7334,6.1575,,,,,,,,,,,,,,,,,
1.5823,1.5263,1.4622,34.569,6.7883,0.91333,0.61549,7.7511,231.49,117.68,1230.7,7.7884,1.8708,3.9367,8.109,1.714,6.2203,,,,,,,,,,,,,,,,,
1.5930000000000002,1.5281,1.4673,34.905,6.8179,0.91735,0.6149,7.7437,232.69,118.02,1225.6,7.8447,1.8909,3.9544,8.2277,1.7221,6.2549,,,,,,,,,,,,,,,,,
1.596,1.5215,1.4579,34.616,6.777,0.91191,0.6149899999999999,7.7488,231.45,118.71,1226.9,7.7877,1.9006,3.9276,8.1871,1.7252,6.255,,,,,,,,,,,,,,,,,
1.5854,1.5191,1.4507,34.499,6.7491,0.9081,0.61388,7.7487,231.2,117.85,1224.8,7.6998,1.8817,3.9139,8.1166,1.7237,6.2388,,,,,,,,,,,,,,,,,
1.5864,1.5156,1.4646,34.766,6.8085,0.91617,0.61457,7.7499,232.38,117.26,1215.2,7.7429999999999986,1.8801,3.9054,8.1878,1.724,6.2217,,,,,,,,,,,,,,,,,
1.5808,1.5119999999999998,1.4696,35.109,6.8407,0.92047,0.6146,7.7499,233.11,117.82,1222.8,7.7729,1.876,3.9401,8.2221,1.7273,6.1722,,,,,,,,,,,,,,,,,
1.5642,1.5065,1.4634,35.153,6.8204,0.91777,0.61546,7.7477,233.22,118.34,1225.0,7.7492,1.8558,3.9361,8.1975,1.733,6.1968,,,,,,,,,,,,,,,,,
1.5642,1.5071,1.4557,35.30699999999999,6.8003,0.91508,0.6088,7.7501,234.36,117.68,1223.3,7.7306,1.8577,3.9825,8.2078,1.7249,6.215,,,,,,,,,,,,,,,,,
1.5693,1.5114,1.463,35.28800000000001,6.8191,0.9176,0.6118600000000001,7.7419,234.22,118.05,1222.6,7.7661,1.8654,3.9608,8.2648,1.7258,6.2221,,,,,,,,,,,,,,,,,
1.5717,1.5054,1.4762,35.465,6.8718,0.92464,0.6148899999999999,7.7427,234.77,119.21,1221.7,7.7448,1.862,3.954,8.2755,1.7304,6.2025,,,,,,,,,,,,,,,,,
1.581,1.5137,1.4911,36.046,6.9506,0.93528,0.61869,7.7486,237.52,120.45,1225.0,7.8222,1.8774,3.999,8.3754,1.7337,6.2475,,,,,,,,,,,,,,,,,
1.5874,1.5146,1.4897,35.88800000000001,6.9384,0.93362,0.61974,7.7536,237.97,120.31,1225.4,7.8037,1.8772,3.9754,8.3582,1.7344,6.223,,,,,,,,,,,,,,,,,
1.5882,1.5091,1.4877,35.741,6.9184,0.93093,0.62028,7.7477,237.22,118.98,1226.9,7.7709,1.8845,3.998,8.2731,1.7263,6.19,,,,,,,,,,,,,,,,,
1.5715,1.5044,1.4813,35.72400000000001,6.899,0.92833,0.62105,7.7689,236.18,119.49,1226.9,7.7446,1.8667,4.0271,8.2519,1.7333,6.1735,,,,,,,,,,,,,,,,,
