Date,AUD,YTD
1999-01-05,1.6202,?
1999-01-06,1.6068,?
1999-01-07,1.6027,?
1999-01-08,1.5882,?
1999-01-11,1.5787,?
1999-01-12,1.5675,?
1999-01-13,1.5703,?
1999-01-14,1.5855,?
1999-01-15,1.575,?
1999-01-18,1.5816,?
1999-01-19,1.5753,?
1999-01-20,1.575,?
1999-01-21,1.5606,?
1999-01-22,1.5703,?
1999-01-25,1.5756,?
1999-01-26,1.5812,?
1999-01-27,1.5879,?
1999-01-28,1.5884,?
1999-01-29,1.6005,?
1999-02-01,1.5888,?
1999-02-02,1.5772,?
1999-02-03,1.5649,?
1999-02-04,1.5532,?
1999-02-05,1.5574,?
1999-02-08,1.5315,?
1999-02-09,1.5321,?
1999-02-10,1.5484,?
1999-02-11,1.5490000000000002,?
1999-02-12,1.5406,?
1999-02-15,1.5527,?
1999-02-16,1.5441,?
1999-02-17,1.5629,?
1999-02-18,1.5774,?
1999-02-19,1.5747,?
1999-02-22,1.5679,?
1999-02-23,1.5681,?
1999-02-24,1.5630000000000002,?
1999-02-25,1.5824,?
1999-02-26,1.5924,?
1999-03-01,1.6173,?
1999-03-02,1.6171,?
1999-03-03,1.6067,?
1999-03-04,1.6014,?
1999-03-05,1.61,?
1999-03-08,1.5995,?
1999-03-09,1.5904,?
1999-03-10,1.5765,?
1999-03-11,1.5737,?
1999-03-12,1.5741,?
1999-03-15,1.5777,?
1999-03-16,1.5823,?
1999-03-17,1.5930000000000002,?
1999-03-18,1.596,?
1999-03-19,1.5854,?
1999-03-22,1.5864,?
1999-03-23,1.5808,?
1999-03-24,1.5642,?
1999-03-25,1.5642,?
1999-03-26,1.5693,?
1999-03-29,1.5717,?
1999-03-30,1.581,?
1999-03-31,1.5874,?
1999-04-01,1.5882,?
1999-04-02,1.5715,?
1999-04-05,1.5774,?
1999-04-06,1.577,?
1999-04-07,1.5908,?
1999-04-08,1.592,?
1999-04-09,1.6014,?
1999-04-12,1.5923,?
1999-04-13,1.5741,?
1999-04-14,1.5718,?
1999-04-15,1.5654,?
1999-04-16,1.5744,?
1999-04-19,1.55,?
1999-04-20,1.5349,?
1999-04-21,1.538,?
1999-04-22,1.5444,?
1999-04-23,1.5467,?
1999-04-26,1.5288,?
1999-04-27,1.5403,?
1999-04-28,1.5455,?
1999-04-29,1.5305,?
1999-04-30,1.5205,?
1999-05-03,1.5172,?
1999-05-04,1.5098,?
1999-05-05,1.5142,?
1999-05-06,1.5181,?
1999-05-07,1.4915,?
1999-05-10,1.4947,?
1999-05-11,1.4916,?
1999-05-12,1.4881,?
1999-05-13,1.4994,?
1999-05-14,1.496,?
1999-05-17,1.5035,?
1999-05-18,1.5084,?
1999-05-19,1.487,?
1999-05-20,1.5094,?
1999-05-21,1.5117,?
1999-05-24,1.5045,?
1999-05-25,1.5213,?
1999-05-26,1.5182,?
1999-05-27,1.5382,?
1999-05-28,1.5332,?
1999-05-31,1.5313,?
1999-06-01,1.5373,?
1999-06-02,1.5514,?
1999-06-03,1.5484,?
1999-06-04,1.5490000000000002,?
1999-06-07,1.5353,?
1999-06-08,1.5142,?
1999-06-09,1.5149,?
1999-06-10,1.5075,?
1999-06-11,1.5117,?
1999-06-14,1.5081,?
1999-06-15,1.5105,?
1999-06-16,1.5141,?
1999-06-17,1.5229,?
1999-06-18,1.5174,?
1999-06-21,1.5313,?
1999-06-22,1.5286,?
1999-06-23,1.5366,?
1999-06-24,1.5262,?
1999-06-25,1.5185,?
1999-06-28,1.5078,?
1999-06-29,1.5192,?
1999-06-30,1.5221,?
1999-07-01,1.5103,?
1999-07-02,1.4942,?
1999-07-05,1.4986,?
1999-07-06,1.5022,?
1999-07-07,1.4944,?
1999-07-08,1.5082,?
1999-07-09,1.5068,?
1999-07-12,1.4983,?
1999-07-13,1.5109,?
1999-07-14,1.5114,?
1999-07-15,1.5155,?
1999-07-16,1.5131,?
1999-07-19,1.5153,?
1999-07-20,1.5216,?
1999-07-21,1.5334,?
1999-07-22,1.5518,?
1999-07-23,1.5429,?
1999-07-26,1.5411,?
1999-07-27,1.5408,?
1999-07-28,1.5508,?
1999-07-29,1.5529,?
1999-07-30,1.5407,?
1999-08-02,1.534,?
1999-08-03,1.5416,?
1999-08-04,1.5306,?
1999-08-05,1.5175,?
1999-08-06,1.5243,?
1999-08-09,1.5325,?
1999-08-10,1.5366,?
1999-08-11,1.5345,?
1999-08-12,1.5423,?
1999-08-13,1.5407,?
1999-08-16,1.5359,?
1999-08-17,1.5336,?
1999-08-18,1.5429,?
1999-08-19,1.5547,?
1999-08-20,1.5736,?
1999-08-23,1.5715,?
1999-08-24,1.5688,?
1999-08-25,1.5661,?
1999-08-26,1.5827,?
1999-08-27,1.5824,?
1999-08-30,1.5778,?
1999-08-31,1.5784,?
1999-09-01,1.5666,?
1999-09-02,1.5687,?
1999-09-03,1.5530000000000002,?
1999-09-06,1.5499,?
1999-09-07,1.5524,?
1999-09-08,1.5515,?
1999-09-09,1.5406,?
1999-09-10,1.5372,?
1999-09-13,1.5346,?
1999-09-14,1.5249,?
1999-09-15,1.5273,?
1999-09-16,1.5416,?
1999-09-17,1.5453,?
1999-09-20,1.5402,?
1999-09-21,1.5537,?
1999-09-22,1.5482,?
1999-09-23,1.535,?
1999-09-24,1.5459,?
1999-09-27,1.5369,?
1999-09-28,1.5284,?
1999-09-29,1.5333,?
1999-09-30,1.5235,?
1999-10-01,1.5373,?
1999-10-04,1.52,?
1999-10-05,1.5168,?
1999-10-06,1.5022,?
1999-10-07,1.5134,?
1999-10-08,1.5135,?
1999-10-11,1.5213,?
1999-10-12,1.5291,?
1999-10-13,1.5262,?
1999-10-14,1.5212,?
1999-10-15,1.5363,?
1999-10-18,1.5428,?
1999-10-19,1.5529,?
1999-10-20,1.5461,?
1999-10-21,1.5425,?
1999-10-22,1.5403,?
1999-10-25,1.5358,?
1999-10-26,1.5369,?
1999-10-27,1.5312,?
1999-10-28,1.5473,?
1999-10-29,1.5543,?
1999-11-01,1.5652,?
1999-11-02,1.5658,?
1999-11-03,1.5602,?
