Date,CAD,YTD
1999-01-05,1.5272,?
1999-01-06,1.5237,?
1999-01-07,1.5082,?
1999-01-08,1.5132,?
1999-01-11,1.5133,?
1999-01-12,1.5095,?
1999-01-13,1.5097,?
1999-01-14,1.5432,?
1999-01-15,1.5195,?
1999-01-18,1.5308,?
1999-01-19,1.5257,?
1999-01-20,1.5271,?
1999-01-21,1.5228,?
1999-01-22,1.5148,?
1999-01-25,1.5142,?
1999-01-26,1.5211,?
1999-01-27,1.5204,?
1999-01-28,1.5202,?
1999-01-29,1.5227,?
1999-02-01,1.5162,?
1999-02-02,1.5102,?
1999-02-03,1.5065,?
1999-02-04,1.5128,?
1999-02-05,1.505,?
1999-02-08,1.4847,?
1999-02-09,1.4872,?
1999-02-10,1.4951,?
1999-02-11,1.494,?
1999-02-12,1.4896,?
1999-02-15,1.4899,?
1999-02-16,1.4932,?
1999-02-17,1.5038,?
1999-02-18,1.5,?
1999-02-19,1.4922,?
1999-02-22,1.4885,?
1999-02-23,1.4875,?
1999-02-24,1.4972,?
1999-02-25,1.5024,?
1999-02-26,1.4997,?
1999-03-01,1.5142,?
1999-03-02,1.5091,?
1999-03-03,1.5252,?
1999-03-04,1.5245,?
1999-03-05,1.5285,?
1999-03-08,1.5219999999999998,?
1999-03-09,1.5151,?
1999-03-10,1.514,?
1999-03-11,1.5162,?
1999-03-12,1.5229,?
1999-03-15,1.5238,?
1999-03-16,1.5263,?
1999-03-17,1.5281,?
1999-03-18,1.5215,?
1999-03-19,1.5191,?
1999-03-22,1.5156,?
1999-03-23,1.5119999999999998,?
1999-03-24,1.5065,?
1999-03-25,1.5071,?
1999-03-26,1.5114,?
1999-03-29,1.5054,?
1999-03-30,1.5137,?
1999-03-31,1.5146,?
1999-04-01,1.5091,?
1999-04-02,1.5044,?
1999-04-05,1.5004,?
1999-04-06,1.497,?
1999-04-07,1.5048,?
1999-04-08,1.5026,?
1999-04-09,1.4989,?
1999-04-12,1.5032,?
1999-04-13,1.4982,?
1999-04-14,1.4908,?
1999-04-15,1.4928,?
