Date,CHF,YTD
1999-01-05,1.3714,?
1999-01-06,1.3675,?
1999-01-07,1.3724,?
1999-01-08,1.3897,?
1999-01-11,1.3842,?
1999-01-12,1.392,?
1999-01-13,1.3951,?
1999-01-14,1.3565,?
1999-01-15,1.3674,?
1999-01-18,1.3748,?
1999-01-19,1.3782,?
1999-01-20,1.3775,?
1999-01-21,1.3844,?
1999-01-22,1.3852,?
1999-01-25,1.3818,?
1999-01-26,1.3783,?
1999-01-27,1.3834,?
1999-01-28,1.3949,?
1999-01-29,1.4136,?
1999-02-01,1.4163,?
1999-02-02,1.419,?
1999-02-03,1.4115,?
1999-02-04,1.4091,?
1999-02-05,1.4221,?
1999-02-08,1.418,?
1999-02-09,1.4243,?
1999-02-10,1.4117,?
1999-02-11,1.4074,?
1999-02-12,1.4114,?
1999-02-15,1.4223,?
1999-02-16,1.4193,?
1999-02-17,1.4294,?
1999-02-18,1.4194,?
1999-02-19,1.4229,?
1999-02-22,1.4317,?
1999-02-23,1.4543,?
1999-02-24,1.4545,?
1999-02-25,1.4442,?
1999-02-26,1.4418,?
1999-03-01,1.4422,?
1999-03-02,1.45,?
1999-03-03,1.4616,?
1999-03-04,1.4612,?
1999-03-05,1.4617,?
1999-03-08,1.4687,?
1999-03-09,1.4607,?
1999-03-10,1.4665,?
1999-03-11,1.4621,?
1999-03-12,1.4665,?
1999-03-15,1.4613,?
1999-03-16,1.4622,?
1999-03-17,1.4673,?
1999-03-18,1.4579,?
1999-03-19,1.4507,?
1999-03-22,1.4646,?
1999-03-23,1.4696,?
1999-03-24,1.4634,?
1999-03-25,1.4557,?
1999-03-26,1.463,?
1999-03-29,1.4762,?
1999-03-30,1.4911,?
1999-03-31,1.4897,?
1999-04-01,1.4877,?
1999-04-02,1.4813,?
1999-04-05,1.4828,?
1999-04-06,1.4851,?
1999-04-07,1.487,?
1999-04-08,1.4754,?
1999-04-09,1.4751,?
1999-04-12,1.4815,?
1999-04-13,1.4751,?
1999-04-14,1.4893,?
1999-04-15,1.4881,?
1999-04-16,1.4866,?
1999-04-19,1.5023,?
1999-04-20,1.5057,?
1999-04-21,1.5067,?
1999-04-22,1.5114,?
1999-04-23,1.5131,?
1999-04-26,1.5068,?
1999-04-27,1.51,?
1999-04-28,1.5096,?
1999-04-29,1.5083,?
1999-04-30,1.5157,?
1999-05-03,1.5205,?
1999-05-04,1.5215,?
1999-05-05,1.5239,?
1999-05-06,1.5038,?
1999-05-07,1.489,?
1999-05-10,1.4906,?
1999-05-11,1.4974,?
1999-05-12,1.4985,?
1999-05-13,1.5079,?
1999-05-14,1.5075,?
1999-05-17,1.5006,?
1999-05-18,1.4996,?
1999-05-19,1.4989,?
1999-05-20,1.5062,?
1999-05-21,1.5058,?
1999-05-24,1.5166,?
1999-05-25,1.5137,?
1999-05-26,1.5022,?
1999-05-27,1.5139,?
1999-05-28,1.5219,?
1999-05-31,1.5212,?
1999-06-01,1.5248,?
1999-06-02,1.5265,?
1999-06-03,1.5327,?
1999-06-04,1.5342,?
1999-06-07,1.5392,?
1999-06-08,1.5372,?
1999-06-09,1.5319,?
1999-06-10,1.5205,?
1999-06-11,1.5225,?
1999-06-14,1.5247,?
1999-06-15,1.5284,?
1999-06-16,1.534,?
1999-06-17,1.5412,?
1999-06-18,1.5451,?
1999-06-21,1.5373,?
1999-06-22,1.5443,?
1999-06-23,1.5468,?
1999-06-24,1.5535,?
1999-06-25,1.548,?
1999-06-28,1.5316,?
1999-06-29,1.5398,?
1999-06-30,1.545,?
1999-07-01,1.5525,?
1999-07-02,1.5630000000000002,?
1999-07-05,1.5682,?
1999-07-06,1.5691,?
1999-07-07,1.5693,?
1999-07-08,1.5686,?
1999-07-09,1.5742,?
1999-07-12,1.5744,?
1999-07-13,1.5875,?
1999-07-14,1.5743,?
1999-07-15,1.5778,?
1999-07-16,1.5739,?
1999-07-19,1.5741,?
1999-07-20,1.5836,?
1999-07-21,1.5406,?
1999-07-22,1.535,?
1999-07-23,1.5304,?
1999-07-26,1.5294,?
1999-07-27,1.5018,?
1999-07-28,1.5056,?
1999-07-29,1.5077,?
1999-07-30,1.4962,?
1999-08-02,1.4939,?
1999-08-03,1.4968,?
1999-08-04,1.5025,?
1999-08-05,1.487,?
1999-08-06,1.4814,?
1999-08-09,1.4915,?
1999-08-10,1.494,?
1999-08-11,1.4905,?
1999-08-12,1.5019999999999998,?
1999-08-13,1.5062,?
1999-08-16,1.5014,?
1999-08-17,1.5181,?
1999-08-18,1.521,?
1999-08-19,1.5229,?
1999-08-20,1.5211,?
1999-08-23,1.4976,?
1999-08-24,1.506,?
1999-08-25,1.5229,?
1999-08-26,1.5346,?
1999-08-27,1.5327,?
1999-08-30,1.5324,?
1999-08-31,1.5323,?
1999-09-01,1.513,?
1999-09-02,1.508,?
1999-09-03,1.4998,?
1999-09-06,1.4949,?
1999-09-07,1.5082,?
1999-09-08,1.5134,?
1999-09-09,1.5069,?
1999-09-10,1.5108,?
1999-09-13,1.5233,?
1999-09-14,1.5525,?
1999-09-15,1.5485,?
1999-09-16,1.5461,?
1999-09-17,1.5457,?
1999-09-20,1.5434,?
1999-09-21,1.5423,?
1999-09-22,1.5449,?
1999-09-23,1.5248,?
1999-09-24,1.5378,?
1999-09-27,1.5275,?
1999-09-28,1.5382,?
1999-09-29,1.5285,?
1999-09-30,1.515,?
1999-10-01,1.4971,?
1999-10-04,1.49,?
1999-10-05,1.4847,?
1999-10-06,1.4909,?
1999-10-07,1.4815,?
1999-10-08,1.4842,?
1999-10-11,1.4972,?
1999-10-12,1.5002,?
1999-10-13,1.4947,?
1999-10-14,1.4759,?
1999-10-15,1.4787,?
1999-10-18,1.4603,?
1999-10-19,1.4614,?
1999-10-20,1.4689,?
1999-10-21,1.4765,?
1999-10-22,1.4747,?
1999-10-25,1.4847,?
1999-10-26,1.4958,?
1999-10-27,1.5037,?
1999-10-28,1.5158,?
1999-10-29,1.5211,?
1999-11-01,1.5335,?
1999-11-02,1.5174,?
1999-11-03,1.5276,?
1999-11-04,1.5325,?
1999-11-05,1.5342,?
1999-11-08,1.5504,?
1999-11-09,1.5473,?
1999-11-10,1.5433,?
1999-11-11,1.5458,?
1999-11-12,1.5457,?
1999-11-15,1.5598,?
1999-11-16,1.5588,?
1999-11-17,1.5525,?
1999-11-18,1.5387,?
1999-11-19,1.5434,?
1999-11-22,1.5597,?
1999-11-23,1.5546,?
1999-11-24,1.5519999999999998,?
1999-11-25,1.5659999999999998,?
1999-11-26,1.5695,?
1999-11-29,1.5852,?
1999-11-30,1.5907,?
1999-12-01,1.5867,?
1999-12-02,1.5863,?
1999-12-03,1.5908,?
1999-12-06,1.5943,?
1999-12-07,1.5684,?
1999-12-08,1.5626,?
1999-12-09,1.5645,?
1999-12-10,1.5716,?
1999-12-13,1.5762,?
1999-12-14,1.5818,?
1999-12-15,1.5956,?
1999-12-16,1.5967,?
1999-12-17,1.5786,?
1999-12-20,1.5825,?
1999-12-21,1.5852,?
1999-12-22,1.5861,?
1999-12-23,1.5873,?
1999-12-24,1.587,?
1999-12-27,1.5818,?
1999-12-28,1.5834,?
1999-12-29,1.5915,?
1999-12-30,1.5944,?
1999-12-31,1.5978,?
2000-01-03,1.5978,?
2000-01-04,1.59,?
2000-01-05,1.5578,1.3714
2000-01-06,1.5490000000000002,1.3675
2000-01-07,1.5468,1.3724
2000-01-10,1.5635,1.3897
2000-01-11,1.5729,1.3842
2000-01-12,1.5691,1.392
2000-01-13,1.5617,1.3951
