Date,CYP,YTD
1999-01-05,0.49394,?
1999-01-06,0.49389,?
1999-01-07,0.49561,?
1999-01-08,0.50023,?
1999-01-11,0.49907,?
1999-01-12,0.50278,?
1999-01-13,0.50469,?
1999-01-14,0.49549,?
1999-01-15,0.49936,?
1999-01-18,0.50049,?
1999-01-19,0.50089,?
1999-01-20,0.50083,?
1999-01-21,0.50251,?
1999-01-22,0.50262,?
1999-01-25,0.50292,?
1999-01-26,0.50213,?
1999-01-27,0.50241,?
1999-01-28,0.50435,?
1999-01-29,0.5094,?
1999-02-01,0.51047,?
1999-02-02,0.51252,?
1999-02-03,0.51236,?
1999-02-04,0.51241,?
1999-02-05,0.5156,?
1999-02-08,0.51443,?
1999-02-09,0.51645,?
1999-02-10,0.51257,?
1999-02-11,0.51218,?
1999-02-12,0.51351,?
1999-02-15,0.51641,?
1999-02-16,0.51675,?
1999-02-17,0.51943,?
1999-02-18,0.516,?
1999-02-19,0.517,?
1999-02-22,0.52,?
1999-02-23,0.52766,?
1999-02-24,0.52865,?
1999-02-25,0.52542,?
1999-02-26,0.5258,?
1999-03-01,0.52642,?
1999-03-02,0.52786,?
1999-03-03,0.53232,?
1999-03-04,0.53187,?
1999-03-05,0.53332,?
1999-03-08,0.53483,?
1999-03-09,0.53143,?
1999-03-10,0.5335,?
1999-03-11,0.52936,?
1999-03-12,0.53222,?
1999-03-15,0.53029,?
1999-03-16,0.52953,?
1999-03-17,0.53161,?
1999-03-18,0.52876,?
1999-03-19,0.52668,?
1999-03-22,0.53114,?
1999-03-23,0.53345,?
1999-03-24,0.53198,?
1999-03-25,0.53048,?
1999-03-26,0.53194,?
1999-03-29,0.53568,?
1999-03-30,0.54169,?
1999-03-31,0.5406,?
1999-04-01,0.53907,?
1999-04-02,0.53877,?
1999-04-05,0.53877,?
1999-04-06,0.53888,?
1999-04-07,0.53991,?
1999-04-08,0.53577,?
1999-04-09,0.53553,?
1999-04-12,0.53853,?
1999-04-13,0.5342,?
1999-04-14,0.53813,?
1999-04-15,0.53704,?
1999-04-16,0.53709,?
1999-04-19,0.54272,?
1999-04-20,0.54423,?
1999-04-21,0.54372,?
1999-04-22,0.54661,?
1999-04-23,0.54696,?
1999-04-26,0.54426,?
1999-04-27,0.54522,?
1999-04-28,0.5445,?
1999-04-29,0.54275,?
1999-04-30,0.54574,?
1999-05-03,0.54604,?
1999-05-04,0.54648,?
1999-05-05,0.54765,?
1999-05-06,0.54261,?
1999-05-07,0.5365,?
1999-05-10,0.53709,?
1999-05-11,0.53946,?
1999-05-12,0.53967,?
1999-05-13,0.54377,?
1999-05-14,0.54494,?
1999-05-17,0.54224,?
1999-05-18,0.54179,?
1999-05-19,0.5416,?
1999-05-20,0.54426,?
1999-05-21,0.54404,?
1999-05-24,0.54736,?
1999-05-25,0.54662,?
1999-05-26,0.54459,?
1999-05-27,0.54912,?
1999-05-28,0.55192,?
1999-05-31,0.55181,?
1999-06-01,0.55327,?
1999-06-02,0.55399,?
1999-06-03,0.55651,?
1999-06-04,0.55654,?
1999-06-07,0.56003,?
1999-06-08,0.55991,?
1999-06-09,0.55645,?
1999-06-10,0.55243,?
1999-06-11,0.55197,?
1999-06-14,0.55207,?
1999-06-15,0.55396,?
1999-06-16,0.55617,?
1999-06-17,0.55853,?
1999-06-18,0.55877,?
1999-06-21,0.55612,?
1999-06-22,0.55879,?
1999-06-23,0.56023,?
1999-06-24,0.5619,?
1999-06-25,0.5598,?
1999-06-28,0.55463,?
1999-06-29,0.55631,?
1999-06-30,0.55751,?
1999-07-01,0.55935,?
1999-07-02,0.56294,?
1999-07-05,0.56378,?
1999-07-06,0.56428,?
1999-07-07,0.56482,?
1999-07-08,0.56506,?
1999-07-09,0.56691,?
1999-07-12,0.56566,?
1999-07-13,0.56996,?
1999-07-14,0.5667,?
1999-07-15,0.56763,?
1999-07-16,0.56592,?
1999-07-19,0.5658,?
1999-07-20,0.56873,?
1999-07-21,0.55511,?
1999-07-22,0.55264,?
1999-07-23,0.55081,?
1999-07-26,0.55097,?
1999-07-27,0.54113,?
1999-07-28,0.54459,?
1999-07-29,0.54541,?
1999-07-30,0.54208,?
1999-08-02,0.54143,?
1999-08-03,0.54278,?
1999-08-04,0.54377,?
1999-08-05,0.53825,?
1999-08-06,0.53681,?
1999-08-09,0.53921,?
1999-08-10,0.54081,?
1999-08-11,0.53942,?
1999-08-12,0.54269,?
1999-08-13,0.54409,?
1999-08-16,0.54267,?
1999-08-17,0.54822,?
1999-08-18,0.54942,?
1999-08-19,0.54997,?
1999-08-20,0.54997,?
1999-08-23,0.5427,?
1999-08-24,0.5457,?
1999-08-25,0.55017,?
1999-08-26,0.55411,?
1999-08-27,0.55409,?
1999-08-30,0.55323,?
1999-08-31,0.55302,?
1999-09-01,0.54705,?
1999-09-02,0.54531,?
1999-09-03,0.5429,?
1999-09-06,0.54198,?
