Date,CZK,YTD
1999-01-05,29.779,?
1999-01-06,29.616,?
1999-01-07,29.677,?
1999-01-08,29.991,?
1999-01-11,29.967,?
1999-01-12,30.403,?
1999-01-13,30.599,?
1999-01-14,30.75,?
1999-01-15,30.634,?
1999-01-18,30.845,?
1999-01-19,30.671,?
1999-01-20,30.772,?
1999-01-21,30.905,?
1999-01-22,31.161,?
1999-01-25,31.371,?
1999-01-26,31.259,?
1999-01-27,31.614,?
1999-01-28,31.628,?
1999-01-29,31.93,?
1999-02-01,32.35,?
1999-02-02,32.759,?
1999-02-03,32.985,?
1999-02-04,32.785,?
1999-02-05,32.991,?
1999-02-08,33.09,?
1999-02-09,33.532,?
1999-02-10,33.846,?
1999-02-11,33.623000000000005,?
1999-02-12,33.54,?
1999-02-15,33.671,?
1999-02-16,33.989000000000004,?
1999-02-17,34.207,?
1999-02-18,33.742,?
1999-02-19,33.826,?
1999-02-22,33.838,?
1999-02-23,34.455,?
1999-02-24,34.504,?
1999-02-25,34.422,?
1999-02-26,34.443000000000005,?
1999-03-01,34.406,?
1999-03-02,34.198,?
1999-03-03,34.521,?
1999-03-04,34.454,?
1999-03-05,34.528,?
1999-03-08,34.413000000000004,?
1999-03-09,34.473,?
1999-03-10,34.951,?
1999-03-11,34.639,?
1999-03-12,34.738,?
1999-03-15,34.751,?
1999-03-16,34.569,?
1999-03-17,34.905,?
1999-03-18,34.616,?
1999-03-19,34.499,?
1999-03-22,34.766,?
1999-03-23,35.109,?
1999-03-24,35.153,?
1999-03-25,35.30699999999999,?
1999-03-26,35.28800000000001,?
1999-03-29,35.465,?
1999-03-30,36.046,?
1999-03-31,35.88800000000001,?
1999-04-01,35.741,?
1999-04-02,35.72400000000001,?
1999-04-05,35.687,?
1999-04-06,35.795,?
1999-04-07,35.756,?
1999-04-08,35.33,?
1999-04-09,35.185,?
1999-04-12,35.29,?
1999-04-13,35.09,?
1999-04-14,35.444,?
1999-04-15,35.228,?
1999-04-16,34.962,?
1999-04-19,35.547,?
1999-04-20,35.488,?
1999-04-21,35.536,?
1999-04-22,35.705,?
1999-04-23,35.802,?
1999-04-26,35.583,?
1999-04-27,35.529,?
1999-04-28,35.45,?
1999-04-29,35.446,?
1999-04-30,35.545,?
1999-05-03,35.522,?
1999-05-04,35.421,?
1999-05-05,35.539,?
1999-05-06,35.199,?
1999-05-07,34.751999999999995,?
1999-05-10,34.943000000000005,?
1999-05-11,35.109,?
1999-05-12,34.996,?
1999-05-13,35.385,?
1999-05-14,35.535,?
1999-05-17,35.244,?
1999-05-18,35.217,?
1999-05-19,35.23900000000001,?
1999-05-20,35.462,?
1999-05-21,35.634,?
1999-05-24,35.78,?
1999-05-25,35.718,?
1999-05-26,35.679,?
1999-05-27,35.944,?
1999-05-28,36.093,?
1999-05-31,35.867,?
1999-06-01,35.915,?
1999-06-02,36.001,?
1999-06-03,36.098,?
1999-06-04,36.153,?
1999-06-07,36.341,?
1999-06-08,36.306,?
1999-06-09,35.954,?
1999-06-10,35.62699999999999,?
1999-06-11,35.605,?
1999-06-14,35.485,?
1999-06-15,35.503,?
1999-06-16,35.655,?
1999-06-17,35.817,?
1999-06-18,35.796,?
1999-06-21,35.519,?
1999-06-22,35.645,?
1999-06-23,35.715,?
1999-06-24,35.841,?
1999-06-25,35.81,?
1999-06-28,35.402,?
1999-06-29,35.46,?
1999-06-30,35.394,?
1999-07-01,35.261,?
1999-07-02,35.241,?
1999-07-05,35.332,?
1999-07-06,35.367,?
1999-07-07,35.365,?
1999-07-08,35.414,?
1999-07-09,35.59,?
1999-07-12,35.603,?
1999-07-13,35.829,?
1999-07-14,35.826,?
1999-07-15,36.077,?
1999-07-16,36.029,?
1999-07-19,35.996,?
1999-07-20,36.126,?
1999-07-21,35.082,?
1999-07-22,35.111,?
1999-07-23,35.006,?
1999-07-26,34.853,?
1999-07-27,34.251999999999995,?
1999-07-28,34.53,?
1999-07-29,34.712,?
1999-07-30,34.316,?
1999-08-02,34.285,?
1999-08-03,34.33,?
1999-08-04,34.431999999999995,?
1999-08-05,33.819,?
1999-08-06,33.695,?
1999-08-09,33.899,?
1999-08-10,34.033,?
1999-08-11,33.875,?
1999-08-12,34.147,?
1999-08-13,34.228,?
1999-08-16,34.072,?
1999-08-17,34.333,?
1999-08-18,34.338,?
1999-08-19,34.443000000000005,?
1999-08-20,34.544000000000004,?
1999-08-23,34.113,?
1999-08-24,34.359,?
1999-08-25,34.501999999999995,?
1999-08-26,34.851,?
1999-08-27,34.938,?
1999-08-30,35.017,?
1999-08-31,35.01,?
1999-09-01,34.591,?
1999-09-02,34.564,?
1999-09-03,34.451,?
1999-09-06,34.354,?
1999-09-07,34.49,?
1999-09-08,34.574,?
1999-09-09,34.596,?
1999-09-10,34.564,?
1999-09-13,34.708,?
1999-09-14,35.344,?
1999-09-15,35.032,?
1999-09-16,35.092,?
1999-09-17,35.027,?
1999-09-20,35.022,?
1999-09-21,34.938,?
1999-09-22,34.961,?
1999-09-23,34.541,?
1999-09-24,34.511,?
1999-09-27,34.317,?
1999-09-28,34.447,?
1999-09-29,34.068000000000005,?
1999-09-30,33.71,?
1999-10-01,33.544000000000004,?
1999-10-04,33.156,?
1999-10-05,33.327,?
1999-10-06,34.304,?
1999-10-07,33.839,?
1999-10-08,33.915,?
1999-10-11,34.391,?
1999-10-12,34.477,?
1999-10-13,34.361999999999995,?
1999-10-14,34.338,?
1999-10-15,34.368,?
1999-10-18,34.067,?
1999-10-19,34.008,?
1999-10-20,34.103,?
1999-10-21,34.128,?
1999-10-22,34.04,?
1999-10-25,34.173,?
1999-10-26,34.279,?
1999-10-27,34.565,?
1999-10-28,34.692,?
1999-10-29,34.779,?
1999-11-01,35.025,?
1999-11-02,34.694,?
1999-11-03,34.899,?
1999-11-04,35.011,?
1999-11-05,34.975,?
1999-11-08,35.171,?
1999-11-09,35.126999999999995,?
1999-11-10,34.95,?
1999-11-11,35.035,?
1999-11-12,35.001999999999995,?
1999-11-15,35.264,?
1999-11-16,35.259,?
1999-11-17,35.159,?
1999-11-18,34.963,?
1999-11-19,34.95,?
1999-11-22,35.347,?
1999-11-23,35.118,?
1999-11-24,35.109,?
1999-11-25,35.36,?
1999-11-26,35.449,?
1999-11-29,35.74800000000001,?
1999-11-30,35.765,?
1999-12-01,35.73,?
1999-12-02,35.782,?
1999-12-03,35.866,?
1999-12-06,35.999,?
1999-12-07,35.467,?
1999-12-08,35.326,?
1999-12-09,35.282,?
1999-12-10,35.361,?
1999-12-13,35.394,?
1999-12-14,35.447,?
1999-12-15,35.741,?
1999-12-16,35.768,?
1999-12-17,35.314,?
1999-12-20,35.507,?
1999-12-21,35.68199999999999,?
1999-12-22,35.811,?
1999-12-23,35.931,?
1999-12-24,35.861,?
1999-12-27,35.639,?
1999-12-28,35.652,?
1999-12-29,35.81800000000001,?
1999-12-30,35.84900000000001,?
1999-12-31,35.938,?
2000-01-03,35.938,?
2000-01-04,35.741,?
2000-01-05,35.197,29.779
2000-01-06,35.047,29.616
2000-01-07,34.889,29.677
2000-01-10,35.032,29.991
2000-01-11,35.181999999999995,29.967
2000-01-12,35.071,30.403
2000-01-13,34.913000000000004,30.599
2000-01-14,35.178000000000004,30.75
2000-01-17,35.265,30.634
2000-01-18,35.649,30.845
2000-01-19,35.646,30.671
2000-01-20,35.73699999999999,30.772
2000-01-21,35.77,30.905
2000-01-24,35.687,31.161
2000-01-25,35.778,31.371
2000-01-26,35.831,31.259
2000-01-27,35.717,31.614
2000-01-28,35.848,31.628
2000-01-31,36.302,31.93
2000-02-01,36.554,32.35
2000-02-02,36.921,32.759
2000-02-03,36.881,32.985
2000-02-04,36.703,32.785
2000-02-07,36.347,32.991
2000-02-08,36.559,33.09
2000-02-09,36.037,33.532
2000-02-10,35.869,33.846
2000-02-11,36.165,33.623000000000005
2000-02-14,36.353,33.54
2000-02-15,36.125,33.671
2000-02-16,36.451,33.989000000000004
2000-02-17,36.408,34.207
2000-02-18,36.031,33.742
2000-02-21,36.295,33.826
2000-02-22,36.225,33.838
2000-02-23,35.631,34.455
2000-02-24,35.41900000000001,34.504
2000-02-25,36.015,34.422
2000-02-28,36.202,34.443000000000005
2000-02-29,36.825,34.443000000000005
2000-03-01,36.633,34.406
2000-03-02,36.857,34.198
2000-03-03,36.713,34.521
2000-03-06,36.878,34.528
2000-03-07,36.864,34.528
2000-03-08,37.067,34.413000000000004
2000-03-09,37.211,34.473
2000-03-10,36.99,34.951
2000-03-13,36.967,34.738
2000-03-14,36.589,34.738
2000-03-15,36.951,34.751
2000-03-16,36.882,34.569
2000-03-17,36.799,34.905
2000-03-20,36.769,34.499
2000-03-21,36.601,34.499
2000-03-22,36.68,34.766
2000-03-23,37.032,35.109
2000-03-24,36.826,35.153
2000-03-27,36.725,35.28800000000001
2000-03-28,36.736,35.28800000000001
2000-03-29,36.982,35.465
2000-03-30,37.175,36.046
2000-03-31,37.532,35.88800000000001
2000-04-03,37.918,35.72400000000001
2000-04-04,37.85,35.72400000000001
2000-04-05,37.936,35.687
2000-04-06,37.51,35.795
2000-04-07,37.704,35.756
2000-04-10,37.898,35.185
2000-04-11,37.766,35.185
2000-04-12,37.93,35.29
2000-04-13,38.069,35.09
2000-04-14,38.243,35.444
2000-04-17,38.199,34.962
2000-04-18,38.133,34.962
2000-04-19,38.35,35.547
2000-04-20,38.419,35.488
