Date,DKK,YTD
1999-01-05,6.3195,?
1999-01-06,6.3185,?
1999-01-07,6.3401,?
1999-01-08,6.3988,?
1999-01-11,6.3842,?
1999-01-12,6.4338,?
1999-01-13,6.4609,?
1999-01-14,6.3379,?
1999-01-15,6.3878,?
1999-01-18,6.403,?
1999-01-19,6.4098,?
1999-01-20,6.4032,?
1999-01-21,6.4257,?
1999-01-22,6.428,?
1999-01-25,6.4297,?
1999-01-26,6.4198,?
1999-01-27,6.4203,?
1999-01-28,6.4496,?
1999-01-29,6.517,?
1999-02-01,6.5319,?
1999-02-02,6.5587,?
1999-02-03,6.5598,?
1999-02-04,6.5601,?
1999-02-05,6.6023,?
1999-02-08,6.585,?
1999-02-09,6.6117,?
1999-02-10,6.561,?
1999-02-11,6.555,?
1999-02-12,6.5724,?
1999-02-15,6.6121,?
1999-02-16,6.6158,?
1999-02-17,6.6524,?
1999-02-18,6.6072,?
1999-02-19,6.6193,?
1999-02-22,6.66,?
1999-02-23,6.7636,?
1999-02-24,6.7776,?
1999-02-25,6.7360000000000015,?
1999-02-26,6.7397,?
1999-03-01,6.7475,?
1999-03-02,6.7674,?
1999-03-03,6.8288,?
1999-03-04,6.8213,?
1999-03-05,6.8419,?
1999-03-08,6.8603,?
1999-03-09,6.8135,?
1999-03-10,6.8424,?
1999-03-11,6.7863,?
1999-03-12,6.8246,?
1999-03-15,6.799,?
1999-03-16,6.7883,?
1999-03-17,6.8179,?
1999-03-18,6.777,?
1999-03-19,6.7491,?
1999-03-22,6.8085,?
1999-03-23,6.8407,?
1999-03-24,6.8204,?
1999-03-25,6.8003,?
1999-03-26,6.8191,?
1999-03-29,6.8718,?
1999-03-30,6.9506,?
1999-03-31,6.9384,?
1999-04-01,6.9184,?
1999-04-02,6.899,?
1999-04-05,6.8991,?
1999-04-06,6.9111,?
1999-04-07,6.9282,?
1999-04-08,6.8732,?
1999-04-09,6.8702,?
1999-04-12,6.8958,?
1999-04-13,6.8405,?
1999-04-14,6.9052,?
1999-04-15,6.8908,?
1999-04-16,6.8916,?
1999-04-19,6.9678,?
1999-04-20,6.9885,?
1999-04-21,6.9818,?
1999-04-22,7.0212,?
1999-04-23,7.0246,?
1999-04-26,6.9903,?
1999-04-27,7.0035,?
1999-04-28,6.994,?
1999-04-29,6.9694,?
1999-04-30,7.0096,?
1999-05-03,7.0136,?
1999-05-04,7.0186,?
1999-05-05,7.0352,?
1999-05-06,6.9675,?
1999-05-07,6.8824,?
1999-05-10,6.8915,?
1999-05-11,6.9234,?
1999-05-12,6.9257,?
1999-05-13,6.9825,?
1999-05-14,6.9977,?
1999-05-17,6.9623,?
1999-05-18,6.9578,?
1999-05-19,6.954,?
1999-05-20,6.9913,?
1999-05-21,6.9891,?
1999-05-24,7.0328,?
1999-05-25,7.0246,?
1999-05-26,6.9962,?
1999-05-27,7.0559,?
1999-05-28,7.0965,?
1999-05-31,7.0923,?
1999-06-01,7.1077,?
1999-06-02,7.1222,?
1999-06-03,7.1583,?
1999-06-04,7.1577,?
1999-06-07,7.2033,?
1999-06-08,7.2029,?
1999-06-09,7.1547,?
1999-06-10,7.0995,?
1999-06-11,7.0939999999999985,?
1999-06-14,7.0941,?
1999-06-15,7.1191,?
1999-06-16,7.1499,?
1999-06-17,7.1824,?
1999-06-18,7.187,?
1999-06-21,7.1536,?
1999-06-22,7.1881,?
1999-06-23,7.2068,?
1999-06-24,7.2295,?
1999-06-25,7.2009,?
1999-06-28,7.1169,?
1999-06-29,7.1551,?
1999-06-30,7.1732,?
1999-07-01,7.198,?
1999-07-02,7.2443,?
1999-07-05,7.2603,?
1999-07-06,7.2667,?
1999-07-07,7.2744,?
1999-07-08,7.274,?
1999-07-09,7.3029,?
1999-07-12,7.2879,?
1999-07-13,7.3457,?
1999-07-14,7.3033,?
1999-07-15,7.3137,?
1999-07-16,7.2907,?
1999-07-19,7.2898,?
1999-07-20,7.3311,?
1999-07-21,7.1459,?
1999-07-22,7.1118,?
1999-07-23,7.0891,?
1999-07-26,7.0901,?
1999-07-27,6.9569,?
1999-07-28,7.0051,?
1999-07-29,7.0208,?
1999-07-30,6.9699,?
1999-08-02,6.9596,?
1999-08-03,6.9784,?
1999-08-04,6.9918,?
1999-08-05,6.9152,?
1999-08-06,6.8974,?
1999-08-09,6.931,?
1999-08-10,6.9525,?
1999-08-11,6.9318,?
1999-08-12,6.9734,?
1999-08-13,6.9896,?
1999-08-16,6.9711,?
1999-08-17,7.0459,?
1999-08-18,7.064,?
1999-08-19,7.0708,?
1999-08-20,7.0706,?
1999-08-23,6.9717,?
1999-08-24,7.0105,?
1999-08-25,7.0713,?
1999-08-26,7.1248,?
1999-08-27,7.112,?
1999-08-30,7.1134,?
1999-08-31,7.1107,?
1999-09-01,7.0315,?
1999-09-02,7.0051,?
1999-09-03,6.9732,?
1999-09-06,6.9646,?
1999-09-07,7.0208,?
1999-09-08,7.0386,?
1999-09-09,7.0071,?
1999-09-10,7.0206,?
1999-09-13,7.067,?
1999-09-14,7.1878,?
1999-09-15,7.174,?
1999-09-16,7.1677,?
1999-09-17,7.1658,?
1999-09-20,7.1485,?
1999-09-21,7.1421,?
1999-09-22,7.1544,?
1999-09-23,7.0716,?
1999-09-24,7.125,?
1999-09-27,7.0934,?
1999-09-28,7.1356,?
1999-09-29,7.0901,?
1999-09-30,7.0368,?
1999-10-01,6.9697,?
1999-10-04,6.9291,?
1999-10-05,6.9351,?
1999-10-06,6.9554,?
1999-10-07,6.9228,?
1999-10-08,6.928,?
1999-10-11,6.9749,?
1999-10-12,6.9912,?
1999-10-13,6.9669,?
1999-10-14,6.8959,?
1999-10-15,6.9093,?
1999-10-18,6.8392,?
1999-10-19,6.8402,?
1999-10-20,6.8715,?
1999-10-21,6.8974,?
1999-10-22,6.8852,?
1999-10-25,6.9110000000000005,?
1999-10-26,6.9593,?
1999-10-27,6.9913,?
1999-10-28,7.0445,?
1999-10-29,7.0569,?
1999-11-01,7.1115,?
1999-11-02,7.0316,?
1999-11-03,7.0752,?
1999-11-04,7.0859,?
1999-11-05,7.0783,?
1999-11-08,7.1438,?
1999-11-09,7.1456,?
1999-11-10,7.1322,?
1999-11-11,7.1474,?
1999-11-12,7.1461,?
1999-11-15,7.2136,?
1999-11-16,7.2196,?
1999-11-17,7.1953,?
1999-11-18,7.1476,?
1999-11-19,7.1663,?
1999-11-22,7.2358,?
1999-11-23,7.2134,?
1999-11-24,7.2111,?
1999-11-25,7.2812,?
1999-11-26,7.2964,?
1999-11-29,7.3639,?
1999-11-30,7.3806,?
1999-12-01,7.3678,?
1999-12-02,7.3724,?
1999-12-03,7.3969,?
1999-12-06,7.4276,?
1999-12-07,7.3054,?
1999-12-08,7.2649,?
1999-12-09,7.2668,?
1999-12-10,7.3113,?
1999-12-13,7.3370000000000015,?
1999-12-14,7.3472,?
1999-12-15,7.4139,?
1999-12-16,7.4258,?
1999-12-17,7.3347,?
1999-12-20,7.3472,?
1999-12-21,7.3703,?
1999-12-22,7.3774,?
1999-12-23,7.3851,?
1999-12-24,7.3746,?
1999-12-27,7.3357,?
1999-12-28,7.3421,?
1999-12-29,7.3752,?
1999-12-30,7.3893,?
1999-12-31,7.4092,?
2000-01-03,7.4092,?
2000-01-04,7.374,?
2000-01-05,7.2226,6.3195
2000-01-06,7.1802,6.3185
2000-01-07,7.1661,6.3401
2000-01-10,7.237999999999999,6.3988
2000-01-11,7.2781,6.3842
2000-01-12,7.2586,6.4338
2000-01-13,7.2228,6.4609
2000-01-14,7.245,6.3379
2000-01-17,7.2811,6.3878
2000-01-18,7.3735,6.403
2000-01-19,7.3753,6.4098
2000-01-20,7.3667,6.4032
2000-01-21,7.3794,6.4257
2000-01-24,7.374,6.428
2000-01-25,7.4257,6.4297
2000-01-26,7.4379,6.4198
2000-01-27,7.4289999999999985,6.4203
2000-01-28,7.4611,6.4496
2000-01-31,7.5574,6.517
2000-02-01,7.6013,6.5319
2000-02-02,7.6655,6.5587
2000-02-03,7.6596,6.5598
2000-02-04,7.6354,6.5601
2000-02-07,7.5681,6.6023
2000-02-08,7.6208,6.585
2000-02-09,7.5162,6.6117
2000-02-10,7.4931,6.561
2000-02-11,7.5444,6.555
2000-02-14,7.596,6.5724
2000-02-15,7.5458,6.6121
2000-02-16,7.6139,6.6158
2000-02-17,7.5941,6.6524
2000-02-18,7.5072,6.6072
2000-02-21,7.5546,6.6193
2000-02-22,7.5554,6.66
2000-02-23,7.4313,6.7636
2000-02-24,7.3969,6.7776
2000-02-25,7.5237,6.7360000000000015
2000-02-28,7.5894,6.7397
2000-02-29,7.7258,6.7397
2000-03-01,7.6668,6.7475
2000-03-02,7.7039,6.7674
2000-03-03,7.6585,6.8288
2000-03-06,7.7114,6.8419
2000-03-07,7.7255,6.8419
2000-03-08,7.7632,6.8603
2000-03-09,7.8038,6.8135
2000-03-10,7.7455,6.8424
2000-03-13,7.7488,6.8246
2000-03-14,7.6682,6.8246
2000-03-15,7.7444,6.799
2000-03-16,7.72,6.7883
2000-03-17,7.7062,6.8179
2000-03-20,7.6982,6.7491
2000-03-21,7.6652,6.7491
2000-03-22,7.6764,6.8085
2000-03-23,7.7548,6.8407
2000-03-24,7.7122,6.8204
2000-03-27,7.6654,6.8191
2000-03-28,7.6674,6.8191
2000-03-29,7.7191,6.8718
2000-03-30,7.7826,6.9506
2000-03-31,7.792999999999998,6.9384
2000-04-03,7.7944,6.899
2000-04-04,7.7857,6.899
2000-04-05,7.808,6.8991
2000-04-06,7.7001,6.9111
2000-04-07,7.7387,6.9282
2000-04-10,7.7882,6.8702
2000-04-11,7.7669,6.8702
2000-04-12,7.7637,6.8958
2000-04-13,7.7781,6.8405
2000-04-14,7.8114,6.9052
2000-04-17,7.8092,6.8916
2000-04-18,7.7823,6.8916
2000-04-19,7.8446,6.9678
2000-04-20,7.8771,6.9885
2000-04-21,7.9502,6.9818
2000-04-24,7.9502,7.0246
2000-04-25,7.9502,7.0246
2000-04-26,8.013,6.9903
2000-04-27,8.1089,7.0035
2000-04-28,8.1367,6.994
2000-05-01,8.2059,7.0096
2000-05-02,8.2059,7.0096
2000-05-03,8.1775,7.0136
2000-05-04,8.3622,7.0186
2000-05-05,8.3307,7.0352
2000-05-08,8.2953,6.8824
2000-05-09,8.3252,6.8824
2000-05-10,8.3013,6.8915
2000-05-11,8.1849,6.9234
2000-05-12,8.2116,6.9257
2000-05-15,8.2587,6.9977
2000-05-16,8.1549,6.9977
2000-05-17,8.2289,6.9623
2000-05-18,8.36,6.9578
2000-05-19,8.3418,6.954
2000-05-22,8.4034,6.9891
2000-05-23,8.2872,6.9891
2000-05-24,8.1857,7.0328
2000-05-25,8.1967,7.0246
2000-05-26,8.3031,6.9962
2000-05-29,8.1576,7.0965
2000-05-30,8.0541,7.0965
2000-05-31,7.9726,7.0923
2000-06-01,8.0223,7.1077
2000-06-02,7.9998,7.1222
2000-06-05,7.9782,7.1577
2000-06-06,7.9126,7.1577
2000-06-07,7.8685,7.2033
2000-06-08,7.8111,7.2029
2000-06-09,7.7204,7.1547
2000-06-12,7.8656,7.0939999999999985
2000-06-13,7.8358,7.0939999999999985
2000-06-14,7.7883,7.0941
2000-06-15,7.7439,7.1191
2000-06-16,7.8336,7.1499
2000-06-19,7.7986,7.187
2000-06-20,7.7362,7.187
2000-06-21,7.8176,7.1536
2000-06-22,7.8739,7.1881
2000-06-23,7.9292,7.2068
2000-06-26,7.9224,7.2009
2000-06-27,7.9945,7.2009
2000-06-28,7.9327,7.1169
2000-06-29,7.9214,7.1551
2000-06-30,7.8497,7.1732
2000-07-03,7.8077,7.2443
2000-07-04,7.8597,7.2443
2000-07-05,7.8666,7.2603
2000-07-06,7.8248,7.2667
2000-07-07,7.8226,7.2744
2000-07-10,7.8699,7.3029
2000-07-11,7.8376,7.3029
2000-07-12,7.8343,7.2879
2000-07-13,7.8556,7.3457
2000-07-14,7.9807,7.3033
2000-07-17,7.9834,7.2907
2000-07-18,7.9759,7.2907
2000-07-19,7.9715,7.2898
2000-07-20,8.0876,7.3311
2000-07-21,8.0849,7.1459
2000-07-24,7.9622,7.0891
2000-07-25,7.9896,7.0891
2000-07-26,7.9222,7.0901
2000-07-27,7.9388,6.9569
2000-07-28,7.9417,7.0051
2000-07-31,8.0375,6.9699
2000-08-01,8.0676,6.9699
2000-08-02,8.05,6.9596
2000-08-03,8.1566,6.9784
2000-08-04,8.261000000000001,6.9918
2000-08-07,8.2571,6.8974
2000-08-08,8.2101,6.8974
2000-08-09,8.2448,6.931
2000-08-10,8.3103,6.9525
2000-08-11,8.2576,6.9318
2000-08-14,8.1695,6.9896
2000-08-15,8.2788,6.9896
2000-08-16,8.1818,6.9711
2000-08-17,8.2217,7.0459
2000-08-18,8.1615,7.064
2000-08-21,8.1697,7.0706
2000-08-22,8.2647,7.0706
2000-08-23,8.3124,6.9717
2000-08-24,8.3616,7.0105
2000-08-25,8.2756,7.0713
2000-08-28,8.2679,7.112
2000-08-29,8.2788,7.112
2000-08-30,8.317,7.1134
2000-08-31,8.3679,7.1107
2000-09-01,8.3723,7.0315
2000-09-04,8.3778,6.9732
2000-09-05,8.2889,6.9732
2000-09-06,8.3951,6.9646
2000-09-07,8.4612,7.0208
2000-09-08,8.5973,7.0386
2000-09-11,8.5384,7.0206
2000-09-12,8.6657,7.0206
2000-09-13,8.6659,7.067
2000-09-14,8.6271,7.1878
2000-09-15,8.5882,7.174
2000-09-18,8.6672,7.1658
2000-09-19,8.7591,7.1658
2000-09-20,8.743,7.1485
2000-09-21,8.8096,7.1421
2000-09-22,8.7547,7.1544
2000-09-25,8.3935,7.125
2000-09-26,8.5059,7.125
2000-09-27,8.5216,7.0934
2000-09-28,8.425,7.1356
2000-09-29,8.4522,7.0901
2000-10-02,8.5077,6.9697
2000-10-03,8.4697,6.9697
2000-10-04,8.5055,6.9291
2000-10-05,8.5342,6.9351
2000-10-06,8.4828,6.9554
2000-10-09,8.5626,6.928
2000-10-10,8.5711,6.928
2000-10-11,8.5448,6.9749
2000-10-12,8.5416,6.9912
2000-10-13,8.6117,6.9669
2000-10-16,8.6312,6.9093
2000-10-17,8.7488,6.9093
2000-10-18,8.7624,6.8392
2000-10-19,8.7324,6.8402
2000-10-20,8.8491,6.8715
2000-10-23,8.8074,6.8852
2000-10-24,8.8865,6.8852
2000-10-25,8.8775,6.9110000000000005
2000-10-26,8.9599,6.9593
2000-10-27,9.0198,6.9913
2000-10-30,8.9421,7.0569
2000-10-31,8.7766,7.0569
2000-11-01,8.8431,7.1115
2000-11-02,8.7017,7.0316
2000-11-03,8.6105,7.0752
2000-11-06,8.5347,7.0783
2000-11-07,8.5967,7.0783
2000-11-08,8.6807,7.1438
2000-11-09,8.7099,7.1456
2000-11-10,8.738999999999999,7.1322
2000-11-13,8.5962,7.1461
2000-11-14,8.6531,7.1461
2000-11-15,8.6909,7.2136
2000-11-16,8.6785,7.2196
2000-11-17,8.7058,7.1953
2000-11-20,8.7398,7.1663
2000-11-21,8.7871,7.1663
2000-11-22,8.8053,7.2358
2000-11-23,8.8536,7.2134
2000-11-24,8.852,7.2111
2000-11-27,8.8428,7.2964
2000-11-28,8.8716,7.2964
2000-11-29,8.7124,7.3639
2000-11-30,8.6223,7.3806
2000-12-01,8.5871,7.3678
2000-12-04,8.5358,7.3969
2000-12-05,8.3683,7.3969
2000-12-06,8.4598,7.4276
2000-12-07,8.4438,7.3054
2000-12-08,8.3375,7.2649
2000-12-11,8.3794,7.3113
2000-12-12,8.4677,7.3113
2000-12-13,8.4883,7.3370000000000015
2000-12-14,8.5225,7.3472
2000-12-15,8.4326,7.4139
2000-12-18,8.2989,7.3347
2000-12-19,8.3191,7.3347
2000-12-20,8.3781,7.3472
2000-12-21,8.2371,7.3703
2000-12-22,8.1599,7.3774
2000-12-25,8.0779,7.3746
2000-12-26,8.0779,7.3746
2000-12-27,8.0779,7.3357
2000-12-28,8.019,7.3421
2000-12-29,8.0395,7.3752
2001-01-01,8.0205,7.4092
2001-01-02,8.0205,7.4092
2001-01-03,7.917999999999998,7.4092
