Date,EEK,YTD
1999-01-05,13.273,?
1999-01-06,13.271,?
1999-01-07,13.325,?
1999-01-08,13.452,?
1999-01-11,13.421,?
1999-01-12,13.525,?
1999-01-13,13.582,?
1999-01-14,13.323,?
1999-01-15,13.427,?
1999-01-18,13.459,?
1999-01-19,13.475,?
1999-01-20,13.47,?
1999-01-21,13.518,?
1999-01-22,13.521,?
1999-01-25,13.527,?
1999-01-26,13.507,?
1999-01-27,13.51,?
1999-01-28,13.572,?
1999-01-29,13.713,?
1999-02-01,13.745,?
1999-02-02,13.8,?
1999-02-03,13.802,?
1999-02-04,13.802,?
1999-02-05,13.892,?
1999-02-08,13.857,?
1999-02-09,13.913,?
1999-02-10,13.807,?
1999-02-11,13.796,?
1999-02-12,13.832,?
1999-02-15,13.916,?
1999-02-16,13.923,?
1999-02-17,14.001,?
1999-02-18,13.905,?
1999-02-19,13.931,?
1999-02-22,14.017,?
1999-02-23,14.235,?
1999-02-24,14.265,?
1999-02-25,14.177,?
1999-02-26,14.185,?
1999-03-01,14.201,?
1999-03-02,14.243,?
1999-03-03,14.372,?
1999-03-04,14.356,?
1999-03-05,14.4,?
1999-03-08,14.442,?
1999-03-09,14.345,?
1999-03-10,14.404,?
1999-03-11,14.286,?
1999-03-12,14.367,?
1999-03-15,14.313,?
1999-03-16,14.291,?
1999-03-17,14.354,?
1999-03-18,14.269,?
1999-03-19,14.209,?
1999-03-22,14.335,?
1999-03-23,14.403,?
1999-03-24,14.36,?
1999-03-25,14.318,?
1999-03-26,14.358,?
1999-03-29,14.468,?
1999-03-30,14.634,?
1999-03-31,14.608,?
1999-04-01,14.566,?
1999-04-02,14.526,?
1999-04-05,14.526,?
1999-04-06,14.553,?
1999-04-07,14.588,?
1999-04-08,14.472,?
1999-04-09,14.464,?
1999-04-12,14.518,?
1999-04-13,14.399,?
1999-04-14,14.535,?
1999-04-15,14.505,?
1999-04-16,14.507,?
1999-04-19,14.667,?
1999-04-20,14.711,?
1999-04-21,14.698,?
1999-04-22,14.781,?
1999-04-23,14.788,?
1999-04-26,14.714,?
1999-04-27,14.742,?
1999-04-28,14.72,?
1999-04-29,14.67,?
1999-04-30,14.756,?
1999-05-03,14.765,?
1999-05-04,14.777,?
1999-05-05,14.812,?
1999-05-06,14.669,?
1999-05-07,14.489,?
1999-05-10,14.507,?
1999-05-11,14.576,?
1999-05-12,14.58,?
1999-05-13,14.699,?
1999-05-14,14.731,?
