Date,HKD,YTD
1999-01-05,7.7472,?
1999-01-06,7.7473,?
1999-01-07,7.7501,?
1999-01-08,7.7485,?
1999-01-11,7.7453,?
1999-01-12,7.7496,?
1999-01-13,7.747000000000001,?
1999-01-14,7.7493,?
1999-01-15,7.747999999999998,?
1999-01-18,7.75,?
1999-01-19,7.7458,?
1999-01-20,7.7431,?
1999-01-21,7.7413,?
1999-01-22,7.7469,?
1999-01-25,7.7581,?
1999-01-26,7.7491,?
1999-01-27,7.7541,?
1999-01-28,7.75,?
1999-01-29,7.75,?
1999-02-01,7.747000000000001,?
1999-02-02,7.7473,?
1999-02-03,7.7489,?
1999-02-04,7.7511,?
1999-02-05,7.7507,?
1999-02-08,7.7506,?
1999-02-09,7.7489,?
1999-02-10,7.7509,?
1999-02-11,7.7485,?
1999-02-12,7.7529,?
1999-02-15,7.752000000000002,?
1999-02-16,7.7492,?
1999-02-17,7.749,?
1999-02-18,7.7511,?
1999-02-19,7.7475,?
1999-02-22,7.7534,?
1999-02-23,7.7497,?
1999-02-24,7.7327,?
1999-02-25,7.7462,?
1999-02-26,7.7478,?
1999-03-01,7.7493,?
1999-03-02,7.7498,?
1999-03-03,7.7481,?
1999-03-04,7.7453,?
1999-03-05,7.7467,?
1999-03-08,7.7496,?
1999-03-09,7.7457,?
1999-03-10,7.7519,?
1999-03-11,7.7468,?
1999-03-12,7.7512,?
1999-03-15,7.7473,?
1999-03-16,7.7511,?
1999-03-17,7.7437,?
1999-03-18,7.7488,?
1999-03-19,7.7487,?
1999-03-22,7.7499,?
1999-03-23,7.7499,?
1999-03-24,7.7477,?
1999-03-25,7.7501,?
1999-03-26,7.7419,?
1999-03-29,7.7427,?
1999-03-30,7.7486,?
1999-03-31,7.7536,?
1999-04-01,7.7477,?
1999-04-02,7.7689,?
1999-04-05,7.7508,?
1999-04-06,7.7509,?
1999-04-07,7.7536,?
1999-04-08,7.7494,?
1999-04-09,7.7481,?
1999-04-12,7.7468,?
1999-04-13,7.7535,?
1999-04-14,7.7501,?
1999-04-15,7.7512,?
1999-04-16,7.7487,?
1999-04-19,7.7531,?
1999-04-20,7.7467,?
1999-04-21,7.7394,?
1999-04-22,7.747999999999998,?
1999-04-23,7.7516,?
1999-04-26,7.7491,?
1999-04-27,7.7473,?
1999-04-28,7.7534,?
1999-04-29,7.7485,?
1999-04-30,7.7502,?
1999-05-03,7.7498,?
1999-05-04,7.7508,?
1999-05-05,7.7506,?
1999-05-06,7.7486,?
1999-05-07,7.7504,?
1999-05-10,7.7501,?
1999-05-11,7.7513,?
1999-05-12,7.7553,?
1999-05-13,7.7499,?
1999-05-14,7.7503,?
1999-05-17,7.7491,?
1999-05-18,7.7535,?
1999-05-19,7.7533,?
1999-05-20,7.7518,?
1999-05-21,7.7543,?
1999-05-24,7.7532,?
1999-05-25,7.7547,?
1999-05-26,7.7531,?
1999-05-27,7.754,?
1999-05-28,7.7551,?
1999-05-31,7.7534,?
1999-06-01,7.7542,?
1999-06-02,7.7558,?
1999-06-03,7.7519,?
1999-06-04,7.7559,?
1999-06-07,7.7574,?
1999-06-08,7.7598,?
1999-06-09,7.7574,?
1999-06-10,7.7579,?
1999-06-11,7.7579,?
1999-06-14,7.7566,?
1999-06-15,7.7562,?
1999-06-16,7.7585,?
1999-06-17,7.7546,?
1999-06-18,7.7563,?
1999-06-21,7.7555,?
1999-06-22,7.7608,?
1999-06-23,7.7599,?
1999-06-24,7.7731,?
1999-06-25,7.7641,?
1999-06-28,7.7589,?
1999-06-29,7.757999999999999,?
1999-06-30,7.7557,?
1999-07-01,7.7572,?
1999-07-02,7.7566,?
1999-07-05,7.7636,?
1999-07-06,7.7608,?
1999-07-07,7.7608,?
1999-07-08,7.76,?
1999-07-09,7.7586,?
1999-07-12,7.7572,?
1999-07-13,7.7629,?
1999-07-14,7.7593,?
1999-07-15,7.7708,?
1999-07-16,7.7593,?
1999-07-19,7.7626,?
1999-07-20,7.7594,?
1999-07-21,7.7559,?
1999-07-22,7.7609,?
