Date,HUF,YTD
1999-01-05,213.32,?
1999-01-06,212.72,?
1999-01-07,213.46,?
1999-01-08,215.0,?
1999-01-11,214.56,?
1999-01-12,215.84,?
1999-01-13,216.32,?
1999-01-14,217.14,?
1999-01-15,217.83,?
1999-01-18,217.91,?
1999-01-19,215.97,?
1999-01-20,215.77,?
1999-01-21,215.97,?
1999-01-22,216.19,?
1999-01-25,216.27,?
1999-01-26,216.22,?
1999-01-27,216.45,?
1999-01-28,216.91,?
1999-01-29,218.53,?
1999-02-01,218.94,?
1999-02-02,219.59,?
1999-02-03,219.63,?
1999-02-04,219.63,?
1999-02-05,220.87,?
1999-02-08,220.43,?
1999-02-09,221.09,?
1999-02-10,220.37,?
1999-02-11,221.35,?
1999-02-12,220.69,?
1999-02-15,221.74,?
1999-02-16,222.16,?
1999-02-17,223.3,?
1999-02-18,223.13,?
1999-02-19,224.41,?
1999-02-22,225.64,?
1999-02-23,227.55,?
1999-02-24,227.82,?
1999-02-25,228.53,?
1999-02-26,228.95,?
1999-03-01,230.45,?
1999-03-02,231.69,?
1999-03-03,231.6,?
1999-03-04,233.07,?
1999-03-05,234.33,?
1999-03-08,233.67,?
1999-03-09,229.66,?
1999-03-10,230.45,?
1999-03-11,230.83,?
1999-03-12,232.18,?
1999-03-15,231.74,?
1999-03-16,231.49,?
1999-03-17,232.69,?
1999-03-18,231.45,?
1999-03-19,231.2,?
1999-03-22,232.38,?
1999-03-23,233.11,?
1999-03-24,233.22,?
1999-03-25,234.36,?
1999-03-26,234.22,?
1999-03-29,234.77,?
1999-03-30,237.52,?
1999-03-31,237.97,?
1999-04-01,237.22,?
1999-04-02,236.18,?
1999-04-05,235.77,?
1999-04-06,235.58,?
1999-04-07,236.02,?
1999-04-08,235.04,?
1999-04-09,234.36,?
1999-04-12,235.04,?
1999-04-13,234.49,?
1999-04-14,235.66,?
1999-04-15,235.16,?
1999-04-16,235.17,?
1999-04-19,236.86,?
1999-04-20,236.48,?
1999-04-21,236.02,?
1999-04-22,236.36,?
1999-04-23,235.79,?
1999-04-26,236.6,?
1999-04-27,236.2,?
1999-04-28,235.88,?
1999-04-29,235.58,?
1999-04-30,236.31,?
1999-05-03,236.41,?
1999-05-04,236.11,?
1999-05-05,236.18,?
1999-05-06,234.55,?
1999-05-07,232.06,?
1999-05-10,233.22,?
1999-05-11,233.33,?
1999-05-12,232.74,?
1999-05-13,234.91,?
1999-05-14,235.35,?
1999-05-17,234.42,?
1999-05-18,234.4,?
1999-05-19,234.13,?
1999-05-20,234.84,?
1999-05-21,235.03,?
1999-05-24,236.56,?
1999-05-25,236.45,?
1999-05-26,236.16,?
1999-05-27,237.71,?
1999-05-28,238.64,?
1999-05-31,238.69,?
1999-06-01,238.75,?
1999-06-02,238.83,?
1999-06-03,239.47,?
1999-06-04,239.63,?
1999-06-07,240.82,?
1999-06-08,240.94,?
1999-06-09,239.71,?
1999-06-10,238.48,?
1999-06-11,238.5,?
1999-06-14,238.52,?
1999-06-15,239.41,?
1999-06-16,240.38,?
1999-06-17,240.76,?
1999-06-18,241.03,?
1999-06-21,240.23,?
1999-06-22,241.15,?
1999-06-23,241.57,?
1999-06-24,241.8,?
1999-06-25,241.72,?
1999-06-28,239.92,?
1999-06-29,240.65,?
1999-06-30,241.09,?
1999-07-01,241.71,?
1999-07-02,242.89,?
1999-07-05,243.26,?
1999-07-06,243.43,?
1999-07-07,243.59,?
1999-07-08,243.65,?
1999-07-09,243.91,?
1999-07-12,244.2,?
1999-07-13,245.63,?
1999-07-14,244.6,?
1999-07-15,244.85,?
1999-07-16,244.43,?
1999-07-19,244.48,?
1999-07-20,245.43,?
1999-07-21,241.04,?
1999-07-22,240.25,?
1999-07-23,239.85,?
1999-07-26,239.89,?
1999-07-27,237.06,?
1999-07-28,237.9,?
1999-07-29,238.34,?
1999-07-30,237.21,?
1999-08-02,237.1,?
1999-08-03,237.52,?
1999-08-04,237.92,?
1999-08-05,235.93,?
1999-08-06,235.82,?
1999-08-09,236.64,?
1999-08-10,237.24,?
1999-08-11,236.74,?
1999-08-12,237.8,?
1999-08-13,238.47,?
1999-08-16,238.11,?
1999-08-17,239.87,?
1999-08-18,240.3,?
1999-08-19,240.7,?
1999-08-20,240.69,?
1999-08-23,238.31,?
1999-08-24,239.31,?
1999-08-25,240.83,?
1999-08-26,242.15,?
1999-08-27,241.97,?
1999-08-30,242.05,?
1999-08-31,242.0,?
1999-09-01,240.13,?
1999-09-02,239.57,?
1999-09-03,239.79,?
1999-09-06,239.52,?
1999-09-07,241.88,?
1999-09-08,241.48,?
1999-09-09,240.31,?
1999-09-10,240.68,?
1999-09-13,241.93,?
1999-09-14,245.63,?
1999-09-15,244.81,?
1999-09-16,245.51,?
1999-09-17,245.64,?
1999-09-20,245.58,?
1999-09-21,245.06,?
1999-09-22,245.0,?
1999-09-23,242.93,?
1999-09-24,245.05,?
1999-09-27,244.36,?
1999-09-28,244.83,?
1999-09-29,244.33,?
1999-09-30,243.2,?
1999-10-01,241.62,?
1999-10-04,241.38,?
1999-10-05,240.91,?
1999-10-06,241.23,?
1999-10-07,240.37,?
1999-10-08,240.65,?
1999-10-11,241.52,?
1999-10-12,241.76,?
1999-10-13,240.6,?
1999-10-14,239.53,?
1999-10-15,239.67,?
1999-10-18,237.87,?
1999-10-19,237.94,?
1999-10-20,239.03,?
1999-10-21,239.12,?
1999-10-22,238.74,?
1999-10-25,239.56,?
1999-10-26,241.15,?
1999-10-27,242.42,?
1999-10-28,242.73,?
1999-10-29,243.25,?
1999-11-01,244.26,?
1999-11-02,242.33,?
1999-11-03,243.37,?
1999-11-04,243.69,?
1999-11-05,243.41,?
1999-11-08,245.13,?
1999-11-09,245.23,?
1999-11-10,244.98,?
1999-11-11,245.34,?
1999-11-12,245.41,?
1999-11-15,247.01,?
1999-11-16,247.25,?
1999-11-17,246.62,?
1999-11-18,245.47,?
1999-11-19,246.0,?
1999-11-22,247.73,?
1999-11-23,247.25,?
1999-11-24,247.23,?
1999-11-25,248.93,?
1999-11-26,249.41,?
1999-11-29,251.04,?
1999-11-30,251.89,?
1999-12-01,251.71,?
1999-12-02,252.06,?
1999-12-03,252.27,?
1999-12-06,252.77,?
1999-12-07,249.86,?
1999-12-08,248.95,?
1999-12-09,248.91,?
1999-12-10,250.17,?
1999-12-13,250.74,?
1999-12-14,251.0,?
1999-12-15,252.65,?
1999-12-16,253.02,?
1999-12-17,250.94,?
1999-12-20,251.29,?
1999-12-21,251.83,?
1999-12-22,252.09,?
1999-12-23,252.34,?
1999-12-24,252.25,?
1999-12-27,251.29,?
1999-12-28,251.71,?
1999-12-29,252.74,?
1999-12-30,252.81,?
1999-12-31,253.53,?
2000-01-03,253.53,?
2000-01-04,252.26,?
2000-01-05,246.99,213.32
2000-01-06,245.48,212.72
2000-01-07,244.95,213.46
2000-01-10,247.6,215.0
2000-01-11,248.99,214.56
2000-01-12,248.36,215.84
2000-01-13,247.17,216.32
2000-01-14,247.95,217.14
2000-01-17,249.4,217.83
2000-01-18,252.54,217.91
2000-01-19,252.59,215.97
2000-01-20,252.34,215.77
2000-01-21,252.83,215.97
2000-01-24,252.67,216.19
2000-01-25,254.43,216.27
2000-01-26,254.95,216.22
2000-01-27,254.7,216.45
2000-01-28,255.91,216.91
2000-01-31,259.27,218.53
2000-02-01,260.81,218.94
2000-02-02,263.05,219.59
2000-02-03,262.89,219.63
2000-02-04,262.2,219.63
2000-02-07,259.9,220.87
2000-02-08,261.68,220.43
2000-02-09,258.11,221.09
2000-02-10,257.36,220.37
2000-02-11,259.17,221.35
2000-02-14,260.97,220.69
2000-02-15,259.26,221.74
2000-02-16,261.66,222.16
2000-02-17,261.01,223.3
2000-02-18,258.11,223.13
2000-02-21,259.72,224.41
2000-02-22,260.45,225.64
2000-02-23,257.24,227.55
2000-02-24,255.56,227.82
2000-02-25,259.09,228.53
2000-02-28,261.6,228.95
2000-02-29,266.4,228.95
2000-03-01,264.37,230.45
2000-03-02,265.33,231.69
2000-03-03,263.8,231.6
2000-03-06,265.61,234.33
2000-03-07,266.15,234.33
2000-03-08,267.5,233.67
2000-03-09,268.93,229.66
2000-03-10,267.09,230.45
2000-03-13,267.3,232.18
2000-03-14,264.76,232.18
