Date,ISK,YTD
1999-01-05,69.115,?
1999-01-06,69.152,?
1999-01-07,69.437,?
1999-01-08,69.687,?
1999-01-11,69.466,?
1999-01-12,69.626,?
1999-01-13,69.957,?
1999-01-14,69.176,?
1999-01-15,69.45,?
1999-01-18,69.413,?
1999-01-19,69.428,?
1999-01-20,69.318,?
1999-01-21,69.538,?
1999-01-22,69.409,?
1999-01-25,69.543,?
1999-01-26,69.294,?
1999-01-27,69.107,?
1999-01-28,69.286,?
1999-01-29,69.833,?
1999-02-01,69.914,?
1999-02-02,70.259,?
1999-02-03,70.124,?
1999-02-04,70.213,?
1999-02-05,70.425,?
1999-02-08,70.351,?
1999-02-09,70.558,?
1999-02-10,70.22,?
1999-02-11,70.226,?
1999-02-12,70.456,?
1999-02-15,70.802,?
1999-02-16,70.751,?
1999-02-17,71.296,?
1999-02-18,71.021,?
1999-02-19,71.163,?
1999-02-22,71.441,?
1999-02-23,72.389,?
1999-02-24,72.349,?
1999-02-25,72.067,?
1999-02-26,72.061,?
1999-03-01,72.2,?
1999-03-02,72.055,?
1999-03-03,72.499,?
1999-03-04,72.364,?
1999-03-05,72.667,?
1999-03-08,72.706,?
1999-03-09,72.241,?
1999-03-10,72.439,?
1999-03-11,71.907,?
1999-03-12,71.94,?
1999-03-15,71.89,?
1999-03-16,71.833,?
1999-03-17,71.966,?
1999-03-18,71.831,?
1999-03-19,71.576,?
1999-03-22,71.901,?
1999-03-23,72.082,?
1999-03-24,72.063,?
1999-03-25,71.934,?
1999-03-26,72.013,?
1999-03-29,72.325,?
1999-03-30,72.849,?
1999-03-31,72.804,?
1999-04-01,72.705,?
1999-04-02,72.698,?
1999-04-05,72.716,?
1999-04-06,72.805,?
1999-04-07,73.075,?
1999-04-08,73.03,?
1999-04-09,72.971,?
1999-04-12,73.056,?
1999-04-13,72.771,?
1999-04-14,73.117,?
1999-04-15,72.838,?
1999-04-16,72.733,?
1999-04-19,73.088,?
1999-04-20,73.129,?
1999-04-21,73.06,?
1999-04-22,73.399,?
1999-04-23,73.519,?
1999-04-26,73.274,?
1999-04-27,73.365,?
1999-04-28,73.368,?
1999-04-29,73.073,?
1999-04-30,73.453,?
1999-05-03,73.54,?
1999-05-04,73.831,?
1999-05-05,74.129,?
1999-05-06,73.676,?
1999-05-07,73.183,?
1999-05-10,73.271,?
1999-05-11,73.544,?
1999-05-12,73.658,?
1999-05-13,73.866,?
1999-05-14,73.997,?
1999-05-17,73.595,?
1999-05-18,73.365,?
1999-05-19,73.34,?
1999-05-20,73.509,?
1999-05-21,73.625,?
1999-05-24,73.837,?
1999-05-25,73.888,?
1999-05-26,73.746,?
1999-05-27,74.124,?
1999-05-28,74.573,?
1999-05-31,74.415,?
1999-06-01,74.493,?
1999-06-02,74.554,?
1999-06-03,74.61,?
1999-06-04,74.591,?
1999-06-07,74.804,?
1999-06-08,74.826,?
1999-06-09,74.444,?
1999-06-10,74.088,?
1999-06-11,74.04,?
1999-06-14,73.878,?
1999-06-15,74.217,?
1999-06-16,74.528,?
1999-06-17,74.123,?
1999-06-18,74.014,?
1999-06-21,73.883,?
1999-06-22,74.736,?
1999-06-23,74.605,?
1999-06-24,74.611,?
1999-06-25,74.334,?
1999-06-28,73.983,?
1999-06-29,74.259,?
1999-06-30,74.17,?
1999-07-01,74.584,?
1999-07-02,74.669,?
1999-07-05,74.817,?
1999-07-06,74.844,?
1999-07-07,74.954,?
1999-07-08,74.995,?
1999-07-09,75.349,?
1999-07-12,75.333,?
1999-07-13,75.741,?
1999-07-14,75.42,?
1999-07-15,75.531,?
1999-07-16,75.238,?
1999-07-19,75.181,?
1999-07-20,75.37,?
1999-07-21,74.236,?
1999-07-22,74.24,?
1999-07-23,74.074,?
1999-07-26,73.828,?
1999-07-27,73.088,?
1999-07-28,73.304,?
1999-07-29,73.357,?
1999-07-30,73.146,?
1999-08-02,72.751,?
1999-08-03,72.789,?
1999-08-04,72.879,?
1999-08-05,72.428,?
1999-08-06,72.44,?
1999-08-09,72.672,?
1999-08-10,72.844,?
1999-08-11,72.646,?
1999-08-12,72.657,?
1999-08-13,72.918,?
1999-08-16,72.72,?
1999-08-17,72.984,?
1999-08-18,73.212,?
1999-08-19,73.139,?
1999-08-20,72.882,?
1999-08-23,71.857,?
1999-08-24,72.553,?
1999-08-25,73.012,?
1999-08-26,73.363,?
1999-08-27,73.594,?
1999-08-30,73.55,?
1999-08-31,73.484,?
1999-09-01,72.742,?
1999-09-02,72.534,?
1999-09-03,72.425,?
1999-09-06,72.327,?
1999-09-07,72.607,?
1999-09-08,72.788,?
1999-09-09,72.468,?
1999-09-10,72.441,?
1999-09-13,72.614,?
1999-09-14,73.216,?
1999-09-15,73.306,?
1999-09-16,73.257,?
1999-09-17,73.207,?
1999-09-20,73.156,?
1999-09-21,72.862,?
1999-09-22,72.69,?
1999-09-23,72.233,?
1999-09-24,72.493,?
1999-09-27,72.232,?
1999-09-28,72.585,?
1999-09-29,72.26,?
1999-09-30,72.006,?
1999-10-01,71.608,?
1999-10-04,71.234,?
1999-10-05,71.294,?
1999-10-06,71.308,?
1999-10-07,70.923,?
1999-10-08,70.957,?
1999-10-11,71.099,?
1999-10-12,71.132,?
1999-10-13,70.894,?
1999-10-14,70.913,?
1999-10-15,70.794,?
1999-10-18,70.255,?
1999-10-19,70.132,?
1999-10-20,70.272,?
1999-10-21,70.428,?
1999-10-22,70.334,?
1999-10-25,70.403,?
1999-10-26,70.682,?
1999-10-27,70.845,?
1999-10-28,71.086,?
1999-10-29,70.923,?
1999-11-01,71.233,?
1999-11-02,70.762,?
1999-11-03,71.114,?
1999-11-04,71.395,?
1999-11-05,71.087,?
1999-11-08,71.695,?
1999-11-09,71.802,?
1999-11-10,71.652,?
1999-11-11,71.534,?
1999-11-12,71.709,?
1999-11-15,72.002,?
1999-11-16,72.061,?
1999-11-17,71.894,?
1999-11-18,71.493,?
1999-11-19,71.484,?
1999-11-22,72.06,?
1999-11-23,71.778,?
1999-11-24,72.002,?
1999-11-25,72.472,?
1999-11-26,72.464,?
1999-11-29,72.765,?
1999-11-30,72.879,?
1999-12-01,72.843,?
1999-12-02,72.847,?
1999-12-03,73.183,?
1999-12-06,73.27,?
1999-12-07,72.54,?
1999-12-08,72.214,?
1999-12-09,72.069,?
1999-12-10,72.364,?
1999-12-13,72.547,?
1999-12-14,72.512,?
1999-12-15,72.923,?
1999-12-16,73.017,?
1999-12-17,72.472,?
1999-12-20,72.739,?
1999-12-21,72.553,?
1999-12-22,72.382,?
1999-12-23,72.285,?
1999-12-24,72.029,?
1999-12-27,72.017,?
1999-12-28,72.015,?
1999-12-29,71.979,?
1999-12-30,72.419,?
1999-12-31,72.497,?
2000-01-03,72.497,?
2000-01-04,72.379,?
2000-01-05,71.732,69.115
2000-01-06,71.663,69.152
2000-01-07,71.958,69.437
2000-01-10,72.141,69.687
2000-01-11,72.343,69.466
2000-01-12,72.358,69.626
2000-01-13,71.692,69.957
2000-01-14,71.837,69.176
2000-01-17,72.068,69.45
2000-01-18,72.429,69.413
2000-01-19,72.446,69.428
2000-01-20,72.568,69.318
2000-01-21,72.445,69.538
2000-01-24,72.299,69.409
2000-01-25,72.704,69.543
2000-01-26,72.822,69.294
2000-01-27,72.832,69.107
2000-01-28,72.755,69.286
2000-01-31,73.355,69.833
2000-02-01,73.7,69.914
2000-02-02,73.79,70.259
2000-02-03,74.138,70.124
2000-02-04,74.005,70.213
2000-02-07,73.757,70.425
2000-02-08,74.291,70.351
2000-02-09,73.331,70.558
2000-02-10,73.274,70.22
2000-02-11,73.52,70.226
2000-02-14,73.707,70.456
2000-02-15,73.123,70.802
2000-02-16,72.888,70.751
2000-02-17,72.838,71.296
2000-02-18,72.296,71.021
2000-02-21,72.476,71.163
2000-02-22,72.669,71.441
2000-02-23,72.101,72.389
2000-02-24,71.841,72.349
2000-02-25,72.54,72.067
2000-02-28,72.954,72.061
2000-02-29,73.555,72.061
2000-03-01,73.296,72.2
2000-03-02,73.342,72.055
2000-03-03,73.162,72.499
2000-03-06,73.393,72.667
2000-03-07,73.849,72.667
2000-03-08,74.096,72.706
2000-03-09,74.379,72.241
2000-03-10,73.887,72.439
2000-03-13,73.744,71.94
2000-03-14,73.353,71.94
2000-03-15,73.805,71.89
2000-03-16,73.722,71.833
2000-03-17,73.662,71.966
2000-03-20,73.553,71.576
2000-03-21,73.484,71.576
2000-03-22,73.518,71.901
2000-03-23,74.143,72.082
2000-03-24,73.685,72.063
2000-03-27,73.381,72.013
2000-03-28,73.26,72.013
2000-03-29,73.536,72.325
2000-03-30,73.882,72.849
2000-03-31,73.71,72.804
2000-04-03,73.642,72.698
2000-04-04,73.484,72.698
2000-04-05,73.684,72.716
2000-04-06,73.142,72.805
2000-04-07,73.33,73.075
2000-04-10,73.693,72.971
2000-04-11,73.525,72.971
2000-04-12,73.619,73.056
2000-04-13,73.58,72.771
2000-04-14,73.556,73.117
2000-04-17,73.606,72.733
2000-04-18,73.488,72.733
2000-04-19,73.802,73.088
2000-04-20,73.935,73.129
2000-04-21,74.179,73.06
2000-04-24,74.179,73.519
2000-04-25,74.179,73.519
2000-04-26,74.511,73.274
2000-04-27,75.079,73.365
2000-04-28,75.281,73.368
2000-05-01,75.476,73.453
2000-05-02,75.476,73.453
2000-05-03,75.713,73.54
2000-05-04,76.372,73.831
2000-05-05,76.417,74.129
2000-05-08,76.336,73.183
2000-05-09,76.988,73.183
2000-05-10,76.888,73.271
2000-05-11,76.227,73.544
2000-05-12,76.671,73.658
2000-05-15,76.664,73.997
2000-05-16,76.036,73.997
2000-05-17,76.481,73.595
2000-05-18,77.27,73.365
2000-05-19,77.186,73.34
2000-05-22,77.499,73.625
2000-05-23,76.9,73.625
2000-05-24,76.589,73.837
2000-05-25,76.753,73.888
2000-05-26,77.43,73.746
2000-05-29,76.671,74.573
2000-05-30,76.117,74.573
2000-05-31,75.574,74.415
2000-06-01,75.696,74.493
2000-06-02,75.552,74.554
2000-06-05,75.51,74.591
2000-06-06,75.204,74.591
2000-06-07,75.403,74.804
2000-06-08,75.351,74.826
2000-06-09,74.783,74.444
2000-06-12,75.764,74.04
2000-06-13,75.428,74.04
2000-06-14,75.331,73.878
2000-06-15,75.602,74.217
2000-06-16,76.354,74.528
2000-06-19,76.236,74.014
2000-06-20,75.591,74.014
2000-06-21,76.127,73.883
2000-06-22,76.473,74.736
2000-06-23,77.119,74.605
2000-06-26,78.084,74.334
2000-06-27,77.442,74.334
2000-06-28,77.322,73.983
2000-06-29,77.207,74.259
2000-06-30,76.652,74.17
2000-07-03,76.496,74.669
2000-07-04,76.825,74.669
2000-07-05,76.958,74.817
2000-07-06,76.817,74.844
2000-07-07,76.934,74.954
2000-07-10,77.085,75.349
2000-07-11,76.793,75.349
2000-07-12,76.845,75.333
2000-07-13,77.25,75.741
2000-07-14,79.463,75.42
2000-07-17,80.319,75.238
2000-07-18,79.63,75.238
2000-07-19,79.269,75.181
2000-07-20,79.633,75.37
2000-07-21,79.306,74.236
2000-07-24,78.607,74.074
2000-07-25,78.751,74.074
2000-07-26,78.289,73.828
2000-07-27,78.466,73.088
2000-07-28,77.783,73.304
2000-07-31,78.364,73.146
2000-08-01,78.622,73.146
2000-08-02,78.271,72.751
2000-08-03,78.681,72.789
2000-08-04,80.128,72.879
2000-08-07,80.6,72.44
2000-08-08,79.888,72.44
2000-08-09,80.369,72.672
2000-08-10,80.386,72.844
2000-08-11,79.947,72.646
2000-08-14,79.709,72.918
