Date,JPY,YTD
1999-01-05,113.44,?
1999-01-06,111.08,?
1999-01-07,111.91,?
1999-01-08,111.27,?
1999-01-11,111.58,?
1999-01-12,109.2,?
1999-01-13,112.53,?
1999-01-14,112.3,?
1999-01-15,113.91,?
1999-01-18,113.31,?
1999-01-19,114.45,?
1999-01-20,113.76,?
1999-01-21,113.68,?
1999-01-22,112.63,?
1999-01-25,114.01,?
1999-01-26,114.03,?
1999-01-27,113.81,?
1999-01-28,114.42,?
1999-01-29,115.91,?
1999-02-01,116.04,?
1999-02-02,115.43,?
1999-02-03,112.64,?
1999-02-04,111.9,?
1999-02-05,113.34,?
1999-02-08,113.31,?
1999-02-09,113.66,?
1999-02-10,114.63,?
1999-02-11,115.26,?
1999-02-12,114.35,?
1999-02-15,114.66,?
1999-02-16,115.06,?
1999-02-17,117.95,?
1999-02-18,118.62,?
1999-02-19,119.66,?
1999-02-22,120.01,?
1999-02-23,121.55,?
1999-02-24,121.38,?
1999-02-25,121.28,?
1999-02-26,120.45,?
1999-03-01,119.2,?
1999-03-02,119.36,?
1999-03-03,120.67,?
1999-03-04,121.28,?
1999-03-05,123.25,?
1999-03-08,122.94,?
1999-03-09,121.72,?
1999-03-10,121.93,?
1999-03-11,120.28,?
1999-03-12,120.28,?
1999-03-15,119.65,?
1999-03-16,117.68,?
1999-03-17,118.02,?
1999-03-18,118.71,?
1999-03-19,117.85,?
1999-03-22,117.26,?
1999-03-23,117.82,?
1999-03-24,118.34,?
1999-03-25,117.68,?
1999-03-26,118.05,?
1999-03-29,119.21,?
1999-03-30,120.45,?
1999-03-31,120.31,?
1999-04-01,118.98,?
1999-04-02,119.49,?
1999-04-05,120.54,?
1999-04-06,121.42,?
1999-04-07,121.19,?
1999-04-08,121.41,?
1999-04-09,120.59,?
1999-04-12,121.31,?
1999-04-13,119.88,?
1999-04-14,120.45,?
1999-04-15,119.17,?
1999-04-16,118.68,?
1999-04-19,118.26,?
1999-04-20,118.16,?
1999-04-21,117.87,?
1999-04-22,119.27,?
1999-04-23,119.98,?
1999-04-26,119.66,?
1999-04-27,118.92,?
1999-04-28,119.79,?
1999-04-29,119.12,?
1999-04-30,118.97,?
1999-05-03,119.75,?
1999-05-04,119.87,?
1999-05-05,121.2,?
1999-05-06,120.73,?
1999-05-07,120.94,?
1999-05-10,120.65,?
1999-05-11,120.93,?
1999-05-12,121.11,?
1999-05-13,121.07,?
1999-05-14,121.63,?
1999-05-17,122.5,?
1999-05-18,123.04,?
1999-05-19,123.12,?
1999-05-20,124.51,?
1999-05-21,124.22,?
1999-05-24,124.15,?
1999-05-25,123.63,?
1999-05-26,122.72,?
1999-05-27,122.23,?
1999-05-28,122.27,?
1999-05-31,120.91,?
1999-06-01,121.63,?
1999-06-02,121.09,?
1999-06-03,121.08,?
1999-06-04,121.17,?
1999-06-07,121.62,?
1999-06-08,120.88,?
1999-06-09,121.32,?
1999-06-10,118.94,?
1999-06-11,118.87,?
1999-06-14,118.47,?
1999-06-15,120.17,?
1999-06-16,120.54,?
1999-06-17,120.25,?
1999-06-18,119.89,?
1999-06-21,119.87,?
1999-06-22,122.16,?
1999-06-23,121.79,?
1999-06-24,122.13,?
1999-06-25,122.13,?
1999-06-28,121.42,?
1999-06-29,121.26,?
1999-06-30,120.9,?
1999-07-01,120.86,?
1999-07-02,120.93,?
1999-07-05,121.01,?
1999-07-06,122.34,?
1999-07-07,122.17,?
1999-07-08,122.06,?
1999-07-09,122.49,?
1999-07-12,122.17,?
1999-07-13,122.3,?
1999-07-14,121.6,?
1999-07-15,120.94,?
1999-07-16,120.62,?
1999-07-19,120.71,?
1999-07-20,119.85,?
1999-07-21,118.24,?
1999-07-22,118.72,?
1999-07-23,118.16,?
1999-07-26,116.2,?
1999-07-27,115.72,?
1999-07-28,116.94,?
1999-07-29,116.15,?
1999-07-30,115.34,?
1999-08-02,115.2,?
1999-08-03,114.28,?
1999-08-04,115.26,?
1999-08-05,114.66,?
1999-08-06,114.33,?
1999-08-09,114.65,?
1999-08-10,115.25,?
1999-08-11,114.79,?
1999-08-12,115.22,?
1999-08-13,115.86,?
1999-08-16,114.76,?
1999-08-17,114.92,?
1999-08-18,114.32,?
1999-08-19,113.06,?
1999-08-20,111.27,?
1999-08-23,111.71,?
1999-08-24,111.29,?
1999-08-25,111.7,?
1999-08-26,110.9,?
1999-08-27,111.35,?
1999-08-30,111.66,?
1999-08-31,111.06,?
1999-09-01,109.27,?
1999-09-02,109.3,?
1999-09-03,108.95,?
1999-09-06,109.83,?
1999-09-07,109.78,?
1999-09-08,111.16,?
1999-09-09,110.7,?
1999-09-10,108.91,?
1999-09-13,109.32,?
1999-09-14,106.22,?
1999-09-15,106.4,?
1999-09-16,104.1,?
1999-09-17,104.2,?
1999-09-20,106.43,?
1999-09-21,107.71,?
1999-09-22,104.66,?
1999-09-23,104.18,?
1999-09-24,103.98,?
1999-09-27,104.43,?
1999-09-28,105.31,?
1999-09-29,106.18,?
1999-09-30,106.84,?
1999-10-01,105.64,?
1999-10-04,105.56,?
1999-10-05,105.98,?
1999-10-06,106.66,?
1999-10-07,107.65,?
1999-10-08,107.63,?
1999-10-11,107.49,?
1999-10-12,106.69,?
1999-10-13,106.35,?
1999-10-14,107.85,?
1999-10-15,106.85,?
1999-10-18,105.94,?
1999-10-19,105.11,?
1999-10-20,105.66,?
1999-10-21,106.19,?
1999-10-22,106.07,?
1999-10-25,105.64,?
1999-10-26,105.46,?
1999-10-27,104.7,?
1999-10-28,104.01,?
1999-10-29,104.22,?
1999-11-01,104.84,?
1999-11-02,104.27,?
1999-11-03,104.81,?
