Date,KRW,YTD
1999-01-05,1186.4,?
1999-01-06,1164.5,?
1999-01-07,1157.7,?
1999-01-08,1149.6,?
1999-01-11,1172.2,?
1999-01-12,1172.7,?
1999-01-13,1174.8,?
1999-01-14,1173.3,?
1999-01-15,1186.1,?
1999-01-18,1183.4,?
1999-01-19,1180.9,?
1999-01-20,1174.7,?
1999-01-21,1165.6,?
1999-01-22,1172.5,?
1999-01-25,1180.8,?
1999-01-26,1179.4,?
1999-01-27,1174.7,?
1999-01-28,1175.0,?
1999-01-29,1175.4,?
1999-02-01,1174.7,?
1999-02-02,1174.5,?
1999-02-03,1170.0,?
1999-02-04,1170.7,?
1999-02-05,1170.6,?
1999-02-08,1170.1,?
1999-02-09,1175.7,?
1999-02-10,1175.6,?
1999-02-11,1177.7,?
1999-02-12,1175.7,?
1999-02-15,1175.9,?
1999-02-16,1175.4,?
1999-02-17,1174.9,?
1999-02-18,1175.8,?
1999-02-19,1181.8,?
1999-02-22,1205.2,?
1999-02-23,1216.8,?
1999-02-24,1209.0,?
1999-02-25,1217.2,?
1999-02-26,1224.5,?
1999-03-01,1224.0,?
1999-03-02,1219.9,?
1999-03-03,1224.4,?
1999-03-04,1228.8,?
1999-03-05,1238.7,?
1999-03-08,1241.7,?
1999-03-09,1237.2,?
1999-03-10,1235.8,?
1999-03-11,1232.7,?
1999-03-12,1230.4,?
1999-03-15,1233.5,?
1999-03-16,1230.7,?
1999-03-17,1225.6,?
1999-03-18,1226.9,?
1999-03-19,1224.8,?
1999-03-22,1215.2,?
1999-03-23,1222.8,?
1999-03-24,1225.0,?
1999-03-25,1223.3,?
1999-03-26,1222.6,?
1999-03-29,1221.7,?
1999-03-30,1225.0,?
1999-03-31,1225.4,?
1999-04-01,1226.9,?
1999-04-02,1226.9,?
1999-04-05,1225.0,?
1999-04-06,1226.6,?
1999-04-07,1224.0,?
1999-04-08,1222.3,?
1999-04-09,1223.1,?
1999-04-12,1222.9,?
1999-04-13,1223.3,?
1999-04-14,1221.6,?
1999-04-15,1215.4,?
1999-04-16,1214.8,?
1999-04-19,1216.7,?
1999-04-20,1207.4,?
1999-04-21,1206.3,?
1999-04-22,1188.2,?
1999-04-23,1193.4,?
1999-04-26,1189.9,?
1999-04-27,1184.7,?
1999-04-28,1180.2,?
1999-04-29,1178.7,?
1999-04-30,1176.0,?
1999-05-03,1187.5,?
1999-05-04,1190.3,?
1999-05-05,1196.7,?
1999-05-06,1197.1,?
1999-05-07,1202.4,?
1999-05-10,1202.4,?
1999-05-11,1200.9,?
1999-05-12,1199.1,?
1999-05-13,1205.4,?
1999-05-14,1206.0,?
1999-05-17,1207.4,?
1999-05-18,1206.9,?
1999-05-19,1200.5,?
1999-05-20,1199.3,?
1999-05-21,1198.7,?
1999-05-24,1193.2,?
1999-05-25,1189.3,?
1999-05-26,1186.4,?
1999-05-27,1191.0,?
1999-05-28,1188.6,?
1999-05-31,1185.6,?
1999-06-01,1186.2,?
1999-06-02,1187.2,?
1999-06-03,1185.8,?
1999-06-04,1184.7,?
1999-06-07,1183.9,?
1999-06-08,1183.9,?
1999-06-09,1178.1,?
1999-06-10,1165.9,?
1999-06-11,1167.2,?
1999-06-14,1167.3,?
1999-06-15,1169.9,?
1999-06-16,1165.6,?
1999-06-17,1164.0,?
1999-06-18,1166.6,?
1999-06-21,1163.0,?
1999-06-22,1166.2,?
1999-06-23,1159.3,?
1999-06-24,1164.8,?
1999-06-25,1158.2,?
1999-06-28,1155.0,?
1999-06-29,1156.3,?
1999-06-30,1156.9,?
1999-07-01,1157.5,?
1999-07-02,1164.4,?
1999-07-05,1165.0,?
1999-07-06,1163.7,?
1999-07-07,1168.0,?
1999-07-08,1172.1,?
1999-07-09,1180.4,?
1999-07-12,1186.6,?
1999-07-13,1183.6,?
1999-07-14,1175.4,?
1999-07-15,1177.1,?
1999-07-16,1182.9,?
1999-07-19,1184.0,?
1999-07-20,1187.5,?
1999-07-21,1192.3,?
1999-07-22,1202.2,?
1999-07-23,1208.6,?
1999-07-26,1208.5,?
1999-07-27,1209.3,?
1999-07-28,1203.6,?
1999-07-29,1198.2,?
1999-07-30,1203.9,?
1999-08-02,1203.7,?
1999-08-03,1199.6,?
1999-08-04,1198.3,?
1999-08-05,1200.4,?
1999-08-06,1201.5,?
1999-08-09,1200.7,?
1999-08-10,1198.4,?
1999-08-11,1199.7,?
1999-08-12,1201.5,?
1999-08-13,1205.2,?
1999-08-16,1207.4,?
1999-08-17,1202.8,?
1999-08-18,1205.4,?
1999-08-19,1203.0,?
1999-08-20,1199.0,?
1999-08-23,1182.2,?
1999-08-24,1197.4,?
1999-08-25,1198.8,?
1999-08-26,1191.4,?
1999-08-27,1189.8,?
1999-08-30,1182.6,?
1999-08-31,1184.0,?
1999-09-01,1179.9,?
1999-09-02,1184.6,?
1999-09-03,1190.0,?
1999-09-06,1191.0,?
1999-09-07,1192.2,?
1999-09-08,1193.8,?
1999-09-09,1194.7,?
1999-09-10,1190.4,?
1999-09-13,1192.6,?
1999-09-14,1190.7,?
1999-09-15,1193.2,?
1999-09-16,1192.1,?
1999-09-17,1198.6,?
1999-09-20,1202.6,?
1999-09-21,1200.4,?
1999-09-22,1202.4,?
1999-09-23,1207.5,?
1999-09-24,1208.4,?
1999-09-27,1211.9,?
1999-09-28,1210.8,?
1999-09-29,1217.9,?
1999-09-30,1217.4,?
1999-10-01,1216.6,?
1999-10-04,1215.4,?
1999-10-05,1216.4,?
1999-10-06,1206.6,?
1999-10-07,1203.7,?
