Date,LTL,YTD
1999-01-05,4.0012,?
1999-01-06,4.0012,?
1999-01-07,4.0019,?
1999-01-08,4.0017,?
1999-01-11,4.0006,?
1999-01-12,4.0017,?
1999-01-13,4.0007,?
1999-01-14,4.0009,?
1999-01-15,4.0021,?
1999-01-18,4.001,?
1999-01-19,4.0008,?
1999-01-20,3.9997,?
1999-01-21,3.9987,?
1999-01-22,4.0009,?
1999-01-25,4.005,?
1999-01-26,4.0008,?
1999-01-27,3.998,?
1999-01-28,4.0018,?
1999-01-29,4.0016,?
1999-02-01,4.0006,?
1999-02-02,4.0003,?
1999-02-03,4.001,?
1999-02-04,4.0022,?
1999-02-05,4.0024,?
1999-02-08,4.0019,?
1999-02-09,3.9994,?
1999-02-10,3.9997,?
1999-02-11,3.9999,?
1999-02-12,4.0026,?
1999-02-15,4.0031,?
1999-02-16,4.0007,?
1999-02-17,4.0011,?
1999-02-18,4.0041,?
1999-02-19,4.0012,?
1999-02-22,4.0027,?
1999-02-23,4.0026,?
1999-02-24,3.9934,?
1999-02-25,4.0009,?
1999-02-26,4.0033,?
1999-03-01,4.0033,?
1999-03-02,4.0028,?
1999-03-03,4.0018,?
1999-03-04,4.0002,?
1999-03-05,3.9992,?
1999-03-08,4.001,?
1999-03-09,3.9945,?
1999-03-10,4.0022,?
1999-03-11,3.9997,?
1999-03-12,4.0017,?
1999-03-15,4.0008,?
1999-03-16,3.9995,?
1999-03-17,3.9961,?
1999-03-18,4.0,?
1999-03-19,3.9988,?
1999-03-22,4.0003,?
1999-03-23,4.0,?
1999-03-24,3.9994,?
1999-03-25,4.0012,?
1999-03-26,3.9994,?
1999-03-29,3.9987,?
1999-03-30,4.0015,?
1999-03-31,4.0043,?
1999-04-01,4.0014,?
1999-04-02,4.0106,?
1999-04-05,4.0013,?
1999-04-06,4.0009,?
1999-04-07,3.9985,?
1999-04-08,3.999,?
1999-04-09,4.0006,?
1999-04-12,3.9987,?
1999-04-13,4.0025,?
1999-04-14,3.9991,?
1999-04-15,3.9995,?
1999-04-16,3.9989,?
1999-04-19,4.0022,?
1999-04-20,4.0002,?
1999-04-21,3.9964,?
1999-04-22,4.0007,?
1999-04-23,4.0022,?
