Date,LVL,YTD
1999-01-05,0.56561,?
1999-01-06,0.56463,?
1999-01-07,0.56621,?
1999-01-08,0.56972,?
1999-01-11,0.57072,?
1999-01-12,0.56928,?
1999-01-13,0.573,?
1999-01-14,0.56846,?
1999-01-15,0.57144,?
1999-01-18,0.56916,?
1999-01-19,0.57053,?
1999-01-20,0.56904,?
1999-01-21,0.56942,?
1999-01-22,0.56991,?
1999-01-25,0.57085,?
1999-01-26,0.5701,?
1999-01-27,0.57166,?
1999-01-28,0.57308,?
1999-01-29,0.57599,?
1999-02-01,0.57546,?
1999-02-02,0.57532,?
1999-02-03,0.57387,?
1999-02-04,0.57334,?
1999-02-05,0.57258,?
1999-02-08,0.57129,?
1999-02-09,0.57229,?
1999-02-10,0.57434,?
1999-02-11,0.57653,?
1999-02-12,0.57443,?
1999-02-15,0.57542,?
1999-02-16,0.57537,?
1999-02-17,0.57785,?
1999-02-18,0.57691,?
1999-02-19,0.5779,?
1999-02-22,0.57932,?
1999-02-23,0.58197,?
1999-02-24,0.58228,?
1999-02-25,0.58358,?
1999-02-26,0.58481,?
1999-03-01,0.58377,?
1999-03-02,0.58374,?
1999-03-03,0.58529,?
1999-03-04,0.58473,?
1999-03-05,0.58743,?
1999-03-08,0.58815,?
1999-03-09,0.58572,?
1999-03-10,0.58796,?
1999-03-11,0.58578,?
1999-03-12,0.587,?
1999-03-15,0.58489,?
1999-03-16,0.58425,?
1999-03-17,0.58664,?
1999-03-18,0.58773,?
1999-03-19,0.58763,?
1999-03-22,0.58882,?
1999-03-23,0.58763,?
1999-03-24,0.58636,?
1999-03-25,0.58529,?
1999-03-26,0.5857,?
1999-03-29,0.58779,?
1999-03-30,0.59119,?
1999-03-31,0.59135,?
1999-04-01,0.58983,?
1999-04-02,0.59051,?
1999-04-05,0.59088,?
1999-04-06,0.59059,?
1999-04-07,0.59109,?
1999-04-08,0.58916,?
1999-04-09,0.58957,?
1999-04-12,0.59102,?
1999-04-13,0.58958,?
1999-04-14,0.59164,?
1999-04-15,0.58969,?
1999-04-16,0.58928,?
1999-04-19,0.59027,?
1999-04-20,0.58941,?
1999-04-21,0.58886,?
1999-04-22,0.5905,?
1999-04-23,0.59087,?
1999-04-26,0.59065,?
1999-04-27,0.59054,?
1999-04-28,0.59125,?
1999-04-29,0.59141,?
1999-04-30,0.591,?
1999-05-03,0.59196,?
1999-05-04,0.59297,?
1999-05-05,0.59362,?
1999-05-06,0.59145,?
1999-05-07,0.58931,?
1999-05-10,0.58975,?
1999-05-11,0.59022,?
1999-05-12,0.59057,?
1999-05-13,0.59079,?
1999-05-14,0.59028,?
1999-05-17,0.59058,?
1999-05-18,0.59073,?
1999-05-19,0.59065,?
1999-05-20,0.59225,?
1999-05-21,0.59366,?
1999-05-24,0.59412,?
1999-05-25,0.59433,?
1999-05-26,0.59452,?
1999-05-27,0.59516,?
1999-05-28,0.59582,?
1999-05-31,0.59366,?
1999-06-01,0.5944,?
1999-06-02,0.59431,?
1999-06-03,0.59545,?
1999-06-04,0.59622,?
1999-06-07,0.59719,?
