Date,NOK,YTD
1999-01-05,7.5112,?
1999-01-06,7.4423,?
1999-01-07,7.4372,?
1999-01-08,7.4188,?
1999-01-11,7.3677,?
1999-01-12,7.3978,?
1999-01-13,7.474,?
1999-01-14,7.4481,?
1999-01-15,7.4869,?
1999-01-18,7.4961,?
1999-01-19,7.4556,?
1999-01-20,7.4294,?
1999-01-21,7.4298,?
1999-01-22,7.4361,?
1999-01-25,7.4544,?
1999-01-26,7.4348,?
1999-01-27,7.4361,?
1999-01-28,7.4581,?
1999-01-29,7.511,?
1999-02-01,7.5356,?
1999-02-02,7.5318,?
1999-02-03,7.5721,?
1999-02-04,7.6078,?
1999-02-05,7.6734,?
1999-02-08,7.6802,?
1999-02-09,7.6649,?
1999-02-10,7.632999999999999,?
1999-02-11,7.6199,?
1999-02-12,7.641,?
1999-02-15,7.6552,?
1999-02-16,7.6464,?
1999-02-17,7.7134,?
1999-02-18,7.7273,?
1999-02-19,7.78,?
1999-02-22,7.8003,?
1999-02-23,7.9044,?
1999-02-24,7.9082,?
1999-02-25,7.8409,?
1999-02-26,7.8837,?
1999-03-01,7.893,?
1999-03-02,7.8714,?
1999-03-03,7.9471,?
1999-03-04,7.9342,?
1999-03-05,7.9289,?
1999-03-08,7.9195,?
1999-03-09,7.8644,?
1999-03-10,7.8804,?
1999-03-11,7.8001,?
1999-03-12,7.8055,?
1999-03-15,7.8014,?
1999-03-16,7.7884,?
1999-03-17,7.8447,?
1999-03-18,7.7877,?
1999-03-19,7.6998,?
1999-03-22,7.7429999999999986,?
1999-03-23,7.7729,?
1999-03-24,7.7492,?
1999-03-25,7.7306,?
1999-03-26,7.7661,?
1999-03-29,7.7448,?
1999-03-30,7.8222,?
1999-03-31,7.8037,?
1999-04-01,7.7709,?
1999-04-02,7.7446,?
1999-04-05,7.7479,?
1999-04-06,7.7665,?
1999-04-07,7.7704,?
1999-04-08,7.74,?
1999-04-09,7.7745,?
1999-04-12,7.8048,?
1999-04-13,7.7342,?
1999-04-14,7.7701,?
1999-04-15,7.7325,?
1999-04-16,7.7369,?
1999-04-19,7.7686,?
1999-04-20,7.7741,?
1999-04-21,7.7733,?
1999-04-22,7.798999999999999,?
1999-04-23,7.8107,?
1999-04-26,7.7831,?
1999-04-27,7.7886,?
1999-04-28,7.786,?
1999-04-29,7.778,?
1999-04-30,7.7985,?
1999-05-03,7.7866,?
1999-05-04,7.7859,?
1999-05-05,7.7987,?
1999-05-06,7.7402,?
1999-05-07,7.6567,?
1999-05-10,7.6567,?
1999-05-11,7.6488,?
1999-05-12,7.6607,?
1999-05-13,7.7015,?
1999-05-14,7.7377,?
1999-05-17,7.6644,?
1999-05-18,7.675,?
1999-05-19,7.6815,?
1999-05-20,7.7716,?
1999-05-21,7.7639,?
1999-05-24,7.7805,?
1999-05-25,7.7879,?
1999-05-26,7.7694,?
1999-05-27,7.8196,?
1999-05-28,7.8779,?
1999-05-31,7.8676,?
1999-06-01,7.8783,?
1999-06-02,7.8929,?
1999-06-03,7.9383,?
1999-06-04,7.9378,?
1999-06-07,7.9762,?
1999-06-08,7.944,?
1999-06-09,7.8888,?
1999-06-10,7.8464,?
1999-06-11,7.8289,?
1999-06-14,7.8256,?
1999-06-15,7.837999999999999,?
1999-06-16,7.8801,?
1999-06-17,7.8961,?
1999-06-18,7.882999999999999,?
1999-06-21,7.8331,?
1999-06-22,7.8383,?
1999-06-23,7.8439999999999985,?
1999-06-24,7.8852,?
1999-06-25,7.8578,?
1999-06-28,7.8071,?
1999-06-29,7.8278,?
1999-06-30,7.8358,?
1999-07-01,7.8471,?
1999-07-02,7.8775,?
1999-07-05,7.8908,?
1999-07-06,7.887,?
1999-07-07,7.8901,?
1999-07-08,7.9109,?
1999-07-09,7.9503,?
1999-07-12,7.9523,?
1999-07-13,8.0082,?
1999-07-14,7.9697,?
1999-07-15,8.0075,?
1999-07-16,8.0075,?
1999-07-19,7.9661,?
1999-07-20,7.982,?
1999-07-21,7.829,?
1999-07-22,7.8981,?
1999-07-23,7.8779,?
1999-07-26,7.8497,?
1999-07-27,7.7968,?
1999-07-28,7.8362,?
1999-07-29,7.8728,?
1999-07-30,7.8218,?
1999-08-02,7.7936,?
1999-08-03,7.7618,?
1999-08-04,7.7501,?
1999-08-05,7.7158,?
1999-08-06,7.7004,?
1999-08-09,7.7398,?
1999-08-10,7.7193,?
1999-08-11,7.7065,?
1999-08-12,7.7226,?
1999-08-13,7.7331,?
1999-08-16,7.7429999999999986,?
1999-08-17,7.7897,?
1999-08-18,7.7885,?
1999-08-19,7.8039999999999985,?
1999-08-20,7.8012,?
1999-08-23,7.7313,?
1999-08-24,7.78,?
1999-08-25,7.8363,?
1999-08-26,7.9014,?
1999-08-27,7.9645,?
1999-08-30,7.9373,?
1999-08-31,7.9391,?
1999-09-01,7.8308,?
1999-09-02,7.7994,?
1999-09-03,7.8044,?
1999-09-06,7.8071,?
1999-09-07,7.8205,?
1999-09-08,7.8301,?
1999-09-09,7.7495,?
1999-09-10,7.7625,?
1999-09-13,7.8175,?
1999-09-14,7.9013,?
1999-09-15,7.8952,?
1999-09-16,7.9362,?
1999-09-17,7.9208,?
1999-09-20,7.8999,?
1999-09-21,7.8637,?
1999-09-22,7.874,?
1999-09-23,7.8238,?
1999-09-24,7.8437,?
1999-09-27,7.8193,?
1999-09-28,7.8687,?
1999-09-29,7.7964,?
1999-09-30,7.7734,?
1999-10-01,7.7647,?
1999-10-04,7.6874,?
1999-10-05,7.6854,?
1999-10-06,7.704,?
1999-10-07,7.6977,?
1999-10-08,7.7123,?
1999-10-11,7.8047,?
1999-10-12,7.7984,?
1999-10-13,7.7807,?
1999-10-14,7.7185,?
1999-10-15,7.7217,?
1999-10-18,7.6755,?
1999-10-19,7.6997,?
1999-10-20,7.7246,?
1999-10-21,7.715,?
1999-10-22,7.7142,?
1999-10-25,7.6994,?
1999-10-26,7.7436,?
1999-10-27,7.7725,?
1999-10-28,7.8085,?
1999-10-29,7.8318,?
1999-11-01,7.8886,?
1999-11-02,7.8079,?
1999-11-03,7.8648,?
1999-11-04,7.8696,?
1999-11-05,7.8627,?
1999-11-08,7.9127,?
1999-11-09,7.9077,?
1999-11-10,7.8679,?
1999-11-11,7.8663,?
1999-11-12,7.8729,?
1999-11-15,7.9458,?
1999-11-16,7.9279,?
1999-11-17,7.9262,?
1999-11-18,7.8886,?
1999-11-19,7.8858,?
1999-11-22,7.9575,?
1999-11-23,7.927,?
1999-11-24,7.9205,?
1999-11-25,7.9956,?
1999-11-26,7.987999999999999,?
1999-11-29,8.0245,?
1999-11-30,8.0505,?
1999-12-01,8.0464,?
1999-12-02,8.0631,?
1999-12-03,8.0859,?
1999-12-06,8.0929,?
1999-12-07,7.9857,?
1999-12-08,7.9241,?
1999-12-09,7.9279,?
1999-12-10,7.9671,?
1999-12-13,7.9938,?
1999-12-14,7.9927,?
1999-12-15,8.0604,?
1999-12-16,8.088,?
1999-12-17,7.9987,?
1999-12-20,7.9883,?
1999-12-21,7.9923,?
1999-12-22,8.0137,?
1999-12-23,7.9844,?
1999-12-24,7.9894,?
1999-12-27,7.9965,?
1999-12-28,7.9998,?
1999-12-29,8.0167,?
1999-12-30,8.0133,?
1999-12-31,8.0395,?
2000-01-03,8.0395,?
2000-01-04,7.9901,?
2000-01-05,7.9088,7.5112
2000-01-06,7.9147,7.4423
2000-01-07,7.8966,7.4372
2000-01-10,7.9682,7.4188
2000-01-11,8.0066,7.3677
2000-01-12,8.0026,7.3978
2000-01-13,7.9705,7.474
2000-01-14,7.9598,7.4481
2000-01-17,7.9575,7.4869
2000-01-18,8.0211,7.4961
2000-01-19,8.0318,7.4556
2000-01-20,7.9916,7.4294
2000-01-21,8.0152,7.4298
2000-01-24,7.9994,7.4361
2000-01-25,8.0238,7.4544
2000-01-26,8.0351,7.4348
2000-01-27,8.0537,7.4361
2000-01-28,8.1009,7.4581
2000-01-31,8.1682,7.511
2000-02-01,8.255,7.5356
2000-02-02,8.3141,7.5318
2000-02-03,8.251,7.5721
2000-02-04,8.2555,7.6078
2000-02-07,8.2186,7.6734
2000-02-08,8.2513,7.6802
2000-02-09,8.1511,7.6649
2000-02-10,8.1362,7.632999999999999
2000-02-11,8.1774,7.6199
2000-02-14,8.2027,7.641
2000-02-15,8.1884,7.6552
2000-02-16,8.2517,7.6464
2000-02-17,8.2747,7.7134
2000-02-18,8.2231,7.7273
2000-02-21,8.2637,7.78
2000-02-22,8.2885,7.8003
2000-02-23,8.1735,7.9044
2000-02-24,8.1401,7.9082
2000-02-25,8.2315,7.8409
2000-02-28,8.2824,7.8837
2000-02-29,8.3645,7.8837
2000-03-01,8.3184,7.893
2000-03-02,8.3609,7.8714
2000-03-03,8.2982,7.9471
2000-03-06,8.3694,7.9289
2000-03-07,8.3781,7.9289
2000-03-08,8.427,7.9195
2000-03-09,8.4722,7.8644
2000-03-10,8.4417,7.8804
2000-03-13,8.4256,7.8055
2000-03-14,8.3579,7.8055
2000-03-15,8.4418,7.8014
2000-03-16,8.4379,7.7884
2000-03-17,8.443,7.8447
2000-03-20,8.4305,7.6998
2000-03-21,8.4102,7.6998
2000-03-22,8.4177,7.7429999999999986
2000-03-23,8.4843,7.7729
2000-03-24,8.3948,7.7492
2000-03-27,8.3685,7.7661
2000-03-28,8.368,7.7661
2000-03-29,8.3767,7.7448
2000-03-30,8.4265,7.8222
2000-03-31,8.4579,7.8037
2000-04-03,8.467,7.7446
2000-04-04,8.4787,7.7446
2000-04-05,8.5075,7.7479
