Date,PLN,YTD
1999-01-05,3.4534,?
1999-01-06,3.4135,?
1999-01-07,3.4118,?
1999-01-08,3.4530000000000003,?
1999-01-11,3.462,?
1999-01-12,3.4852,?
1999-01-13,3.5009,?
1999-01-14,3.5791,?
1999-01-15,3.5472,?
1999-01-18,3.6126,?
1999-01-19,3.5022,?
1999-01-20,3.5273,?
1999-01-21,3.5289,?
1999-01-22,3.567,?
1999-01-25,3.5953,?
1999-01-26,3.5918,?
1999-01-27,3.6122,?
1999-01-28,3.6073,?
1999-01-29,3.6267,?
1999-02-01,3.6551,?
1999-02-02,3.7361,?
1999-02-03,3.7308,?
1999-02-04,3.7059,?
1999-02-05,3.6857,?
1999-02-08,3.6976,?
1999-02-09,3.7309,?
1999-02-10,3.7554,?
1999-02-11,3.7425,?
1999-02-12,3.7588,?
1999-02-15,3.7622,?
1999-02-16,3.7918,?
1999-02-17,3.8249,?
1999-02-18,3.8025,?
1999-02-19,3.8141,?
1999-02-22,3.8152,?
1999-02-23,3.8763,?
1999-02-24,3.8662,?
1999-02-25,3.879,?
1999-02-26,3.9027,?
1999-03-01,3.9465,?
1999-03-02,3.9208,?
1999-03-03,3.969,?
1999-03-04,3.9793,?
1999-03-05,3.9659,?
1999-03-08,3.9219,?
1999-03-09,3.9025,?
1999-03-10,3.931,?
1999-03-11,3.9388,?
1999-03-12,3.9528,?
1999-03-15,3.9329,?
1999-03-16,3.9367,?
1999-03-17,3.9544,?
1999-03-18,3.9276,?
1999-03-19,3.9139,?
1999-03-22,3.9054,?
1999-03-23,3.9401,?
1999-03-24,3.9361,?
1999-03-25,3.9825,?
1999-03-26,3.9608,?
1999-03-29,3.954,?
1999-03-30,3.999,?
1999-03-31,3.9754,?
1999-04-01,3.998,?
1999-04-02,4.0271,?
1999-04-05,4.0382,?
1999-04-06,4.0265,?
1999-04-07,4.0223,?
1999-04-08,3.9821,?
1999-04-09,3.9682,?
1999-04-12,3.982,?
1999-04-13,3.9641,?
1999-04-14,3.9966,?
1999-04-15,3.9775,?
1999-04-16,3.9738,?
1999-04-19,4.0156,?
1999-04-20,4.0106,?
1999-04-21,4.0085,?
1999-04-22,4.0168,?
1999-04-23,4.03,?
1999-04-26,4.0068,?
1999-04-27,3.9926,?
1999-04-28,3.9941,?
1999-04-29,3.9867,?
1999-04-30,3.9841,?
1999-05-03,3.9523,?
1999-05-04,3.944,?
1999-05-05,3.9481,?
1999-05-06,3.9153,?
1999-05-07,3.8894,?
1999-05-10,3.8998,?
1999-05-11,3.9048,?
1999-05-12,3.8996,?
1999-05-13,3.9189,?
1999-05-14,3.9519,?
1999-05-17,3.9282,?
1999-05-18,3.923,?
1999-05-19,3.9181,?
1999-05-20,3.92,?
1999-05-21,3.9307,?
1999-05-24,3.9413,?
1999-05-25,3.9335,?
1999-05-26,3.9431,?
1999-05-27,3.9633,?
1999-05-28,3.9785,?
1999-05-31,3.9844,?
1999-06-01,3.9707,?
1999-06-02,3.9846,?
1999-06-03,3.992,?
1999-06-04,3.9925,?
1999-06-07,4.0073,?
1999-06-08,4.0004,?
1999-06-09,3.9817,?
1999-06-10,3.9576,?
1999-06-11,3.9293,?
1999-06-14,3.9331,?
1999-06-15,3.941,?
1999-06-16,3.9374,?
1999-06-17,3.9272,?
1999-06-18,3.9195,?
1999-06-21,3.9154,?
1999-06-22,3.9034,?
1999-06-23,3.9153,?
1999-06-24,3.9244,?
1999-06-25,3.92,?
1999-06-28,3.9153,?
1999-06-29,3.9339,?
1999-06-30,3.9293,?
1999-07-01,3.9291,?
1999-07-02,3.9208,?
1999-07-05,3.9207,?
1999-07-06,3.9176,?
1999-07-07,3.9196,?
1999-07-08,3.9066,?
1999-07-09,3.9,?
1999-07-12,3.9055,?
1999-07-13,3.9209,?
1999-07-14,3.9271,?
1999-07-15,3.9236,?
1999-07-16,3.9028,?
1999-07-19,3.8931,?
1999-07-20,3.8976,?
1999-07-21,3.8458,?
1999-07-22,3.847,?
1999-07-23,3.8478,?
1999-07-26,3.8396,?
1999-07-27,3.8043,?
1999-07-28,3.8155,?
1999-07-29,3.8317,?
1999-07-30,3.8352,?
1999-08-02,3.86,?
1999-08-03,3.9015,?
1999-08-04,3.9659,?
1999-08-05,3.9276,?
1999-08-06,3.9623,?
1999-08-09,3.9494,?
1999-08-10,3.9546,?
1999-08-11,3.9471,?
1999-08-12,3.9409,?
1999-08-13,3.9237,?
1999-08-16,3.9309,?
1999-08-17,3.9564,?
1999-08-18,3.9589,?
1999-08-19,3.9571,?
1999-08-20,3.9637,?
1999-08-23,3.9653,?
1999-08-24,3.9664,?
1999-08-25,3.9775,?
1999-08-26,3.9778,?
1999-08-27,3.9837,?
1999-08-30,3.9858,?
1999-08-31,3.9956,?
1999-09-01,3.9803,?
1999-09-02,3.9709,?
1999-09-03,4.0293,?
1999-09-06,4.0304,?
1999-09-07,4.0605,?
1999-09-08,4.1086,?
1999-09-09,4.0987,?
1999-09-10,4.0535,?
1999-09-13,4.0105,?
1999-09-14,4.0753,?
1999-09-15,4.144,?
1999-09-16,4.1526,?
1999-09-17,4.1453,?
1999-09-20,4.1177,?
1999-09-21,4.0931,?
1999-09-22,4.1009,?
1999-09-23,4.0915,?
1999-09-24,4.1052,?
1999-09-27,4.0891,?
1999-09-28,4.0985,?
1999-09-29,4.1197,?
