Date,ROL,YTD
1999-01-05,11121.0,?
1999-01-06,11169.0,?
1999-01-07,11213.0,?
1999-01-08,11255.0,?
1999-01-11,11273.0,?
1999-01-12,11220.0,?
1999-01-13,11208.0,?
1999-01-14,11196.0,?
1999-01-15,11271.0,?
1999-01-18,11323.0,?
1999-01-19,11422.0,?
1999-01-20,11480.0,?
1999-01-21,11468.0,?
1999-01-22,11478.0,?
1999-01-25,11485.0,?
1999-01-26,11497.0,?
1999-01-27,11508.0,?
1999-01-28,11538.0,?
1999-01-29,11568.0,?
1999-02-01,11665.0,?
1999-02-02,11825.0,?
1999-02-03,11993.0,?
1999-02-04,12049.0,?
1999-02-05,12124.0,?
1999-02-08,12238.0,?
1999-02-09,12198.0,?
1999-02-10,12110.0,?
1999-02-11,12143.0,?
1999-02-12,12242.0,?
1999-02-15,12152.0,?
1999-02-16,12158.0,?
1999-02-17,12253.0,?
1999-02-18,12258.0,?
1999-02-19,12337.0,?
1999-02-22,12386.0,?
1999-02-23,12445.0,?
1999-02-24,12579.0,?
1999-02-25,12746.0,?
1999-02-26,12845.0,?
1999-03-01,12775.0,?
1999-03-02,12815.0,?
1999-03-03,12967.0,?
1999-03-04,13135.0,?
1999-03-05,13399.0,?
1999-03-08,13389.0,?
1999-03-09,12981.0,?
1999-03-10,13415.0,?
1999-03-11,13540.0,?
1999-03-12,13728.0,?
1999-03-15,13555.0,?
1999-03-16,13894.0,?
1999-03-17,14614.0,?
1999-03-18,16255.0,?
1999-03-19,16247.0,?
1999-03-22,14850.0,?
1999-03-23,14900.0,?
1999-03-24,14906.0,?
1999-03-25,14500.0,?
1999-03-26,14565.0,?
1999-03-29,14750.0,?
1999-03-30,15000.0,?
1999-03-31,15330.0,?
1999-04-01,14950.0,?
1999-04-02,14810.0,?
1999-04-05,14795.0,?
1999-04-06,14870.0,?
1999-04-07,14826.0,?
1999-04-08,14500.0,?
1999-04-09,14525.0,?
1999-04-12,14275.0,?
1999-04-13,14283.0,?
1999-04-14,14789.0,?
1999-04-15,14900.0,?
1999-04-16,14950.0,?
1999-04-19,14902.0,?
1999-04-20,14898.0,?
1999-04-21,14884.0,?
1999-04-22,14783.0,?
1999-04-23,14847.0,?
1999-04-26,14797.0,?
1999-04-27,14795.0,?
1999-04-28,14845.0,?
1999-04-29,14872.0,?
1999-04-30,14988.0,?
1999-05-03,14940.0,?
1999-05-04,14927.0,?
1999-05-05,14957.0,?
1999-05-06,14938.0,?
1999-05-07,14946.0,?
1999-05-10,14970.0,?
1999-05-11,14970.0,?
1999-05-12,14986.0,?
1999-05-13,14953.0,?
1999-05-14,15020.0,?
1999-05-17,14973.0,?
1999-05-18,15250.0,?
1999-05-19,15505.0,?
1999-05-20,15470.0,?
1999-05-21,15480.0,?
1999-05-24,15522.0,?
1999-05-25,15510.0,?
1999-05-26,15508.0,?
1999-05-27,15535.0,?
1999-05-28,15585.0,?
1999-05-31,15616.0,?
1999-06-01,15615.0,?
1999-06-02,15623.0,?
1999-06-03,15652.0,?
1999-06-04,15720.0,?
1999-06-07,15754.0,?
1999-06-08,15776.0,?
1999-06-09,15779.0,?
