Date,SEK,YTD
1999-01-05,8.0326,?
1999-01-06,7.975,?
1999-01-07,7.9239,?
1999-01-08,7.892,?
1999-01-11,7.8609,?
1999-01-12,7.8646,?
1999-01-13,7.8954,?
1999-01-14,7.7827,?
1999-01-15,7.8392,?
1999-01-18,7.8763,?
1999-01-19,7.8307,?
1999-01-20,7.7518,?
1999-01-21,7.7447,?
1999-01-22,7.7281,?
1999-01-25,7.7903,?
1999-01-26,7.7175,?
1999-01-27,7.7025,?
1999-01-28,7.7041,?
1999-01-29,7.7695,?
1999-02-01,7.8004,?
1999-02-02,7.8144,?
1999-02-03,7.8306,?
1999-02-04,7.8636,?
1999-02-05,7.9011,?
1999-02-08,7.8569,?
1999-02-09,7.8757,?
1999-02-10,7.8593,?
1999-02-11,7.876,?
1999-02-12,7.8845,?
1999-02-15,7.9425,?
1999-02-16,7.9031,?
1999-02-17,7.9214,?
1999-02-18,7.9152,?
1999-02-19,7.9483,?
1999-02-22,7.9826,?
1999-02-23,8.1036,?
1999-02-24,8.1215,?
1999-02-25,8.0742,?
1999-02-26,8.1353,?
1999-03-01,8.1707,?
1999-03-02,8.1927,?
1999-03-03,8.253,?
1999-03-04,8.2485,?
1999-03-05,8.2459,?
1999-03-08,8.2476,?
1999-03-09,8.2032,?
1999-03-10,8.2279,?
1999-03-11,8.1188,?
1999-03-12,8.1085,?
1999-03-15,8.106,?
1999-03-16,8.109,?
1999-03-17,8.2277,?
1999-03-18,8.1871,?
1999-03-19,8.1166,?
1999-03-22,8.1878,?
1999-03-23,8.2221,?
1999-03-24,8.1975,?
1999-03-25,8.2078,?
1999-03-26,8.2648,?
1999-03-29,8.2755,?
1999-03-30,8.3754,?
1999-03-31,8.3582,?
1999-04-01,8.2731,?
1999-04-02,8.2519,?
1999-04-05,8.2446,?
1999-04-06,8.2632,?
1999-04-07,8.2701,?
1999-04-08,8.2584,?
1999-04-09,8.2862,?
1999-04-12,8.2984,?
1999-04-13,8.3004,?
1999-04-14,8.3209,?
1999-04-15,8.2859,?
1999-04-16,8.2783,?
1999-04-19,8.3263,?
1999-04-20,8.3518,?
1999-04-21,8.359,?
1999-04-22,8.4121,?
1999-04-23,8.4198,?
1999-04-26,8.3642,?
1999-04-27,8.38,?
1999-04-28,8.3754,?
1999-04-29,8.3565,?
1999-04-30,8.4034,?
1999-05-03,8.4057,?
1999-05-04,8.4224,?
1999-05-05,8.4707,?
1999-05-06,8.4227,?
1999-05-07,8.3387,?
1999-05-10,8.3047,?
1999-05-11,8.3321,?
1999-05-12,8.3321,?
1999-05-13,8.4021,?
1999-05-14,8.4385,?
1999-05-17,8.3824,?
1999-05-18,8.402000000000001,?
1999-05-19,8.4219,?
1999-05-20,8.4897,?
1999-05-21,8.4562,?
1999-05-24,8.4771,?
1999-05-25,8.4794,?
1999-05-26,8.4591,?
1999-05-27,8.5306,?
1999-05-28,8.5725,?
1999-05-31,8.5838,?
1999-06-01,8.5769,?
1999-06-02,8.5945,?
1999-06-03,8.6525,?
1999-06-04,8.6053,?
1999-06-07,8.6394,?
1999-06-08,8.624,?
1999-06-09,8.5734,?
1999-06-10,8.531,?
1999-06-11,8.4991,?
1999-06-14,8.4767,?
1999-06-15,8.4823,?
1999-06-16,8.5287,?
1999-06-17,8.5162,?
1999-06-18,8.5053,?
1999-06-21,8.4217,?
1999-06-22,8.4433,?
1999-06-23,8.4025,?
1999-06-24,8.4791,?
1999-06-25,8.4599,?
1999-06-28,8.3857,?
1999-06-29,8.4275,?
1999-06-30,8.4412,?
1999-07-01,8.4692,?
