Date,SGD,YTD
1999-01-05,1.6587,?
1999-01-06,1.6671,?
1999-01-07,1.6775,?
1999-01-08,1.6709,?
1999-01-11,1.6757,?
1999-01-12,1.6733,?
1999-01-13,1.6791,?
1999-01-14,1.6872,?
1999-01-15,1.6833,?
1999-01-18,1.6833,?
1999-01-19,1.6835,?
1999-01-20,1.6805,?
1999-01-21,1.6759,?
1999-01-22,1.6737,?
1999-01-25,1.6825,?
1999-01-26,1.6883,?
1999-01-27,1.6847,?
1999-01-28,1.6867,?
1999-01-29,1.6906,?
1999-02-01,1.6895,?
1999-02-02,1.6907,?
1999-02-03,1.686,?
1999-02-04,1.6876,?
1999-02-05,1.6877,?
1999-02-08,1.6888,?
1999-02-09,1.6897,?
1999-02-10,1.6926,?
1999-02-11,1.693,?
1999-02-12,1.6888,?
1999-02-15,1.6931,?
1999-02-16,1.6883,?
1999-02-17,1.6979,?
1999-02-18,1.6988,?
1999-02-19,1.7004,?
1999-02-22,1.7081,?
1999-02-23,1.7144,?
1999-02-24,1.7188,?
1999-02-25,1.7257,?
1999-02-26,1.7281,?
1999-03-01,1.7213,?
1999-03-02,1.7243,?
1999-03-03,1.7341,?
1999-03-04,1.7347,?
1999-03-05,1.7352,?
1999-03-08,1.7285,?
1999-03-09,1.7254,?
1999-03-10,1.7322,?
1999-03-11,1.7301,?
1999-03-12,1.7365,?
1999-03-15,1.7334,?
1999-03-16,1.714,?
1999-03-17,1.7221,?
1999-03-18,1.7252,?
1999-03-19,1.7237,?
1999-03-22,1.724,?
1999-03-23,1.7273,?
1999-03-24,1.733,?
1999-03-25,1.7249,?
1999-03-26,1.7258,?
1999-03-29,1.7304,?
1999-03-30,1.7337,?
1999-03-31,1.7344,?
1999-04-01,1.7263,?
1999-04-02,1.7333,?
1999-04-05,1.7318,?
1999-04-06,1.7336,?
1999-04-07,1.7344,?
1999-04-08,1.7356,?
1999-04-09,1.7302,?
1999-04-12,1.7336,?
1999-04-13,1.7226,?
1999-04-14,1.7172,?
1999-04-15,1.6948,?
1999-04-16,1.6909,?
1999-04-19,1.707,?
1999-04-20,1.7049,?
1999-04-21,1.7033,?
1999-04-22,1.7115,?
1999-04-23,1.71,?
1999-04-26,1.7103,?
1999-04-27,1.7002,?
1999-04-28,1.7008,?
1999-04-29,1.696,?
1999-04-30,1.6972,?
1999-05-03,1.7002,?
1999-05-04,1.7013,?
1999-05-05,1.7045,?
1999-05-06,1.6986,?
1999-05-07,1.7014,?
1999-05-10,1.6983,?
1999-05-11,1.6991,?
1999-05-12,1.6994,?
1999-05-13,1.6993,?
1999-05-14,1.7047,?
1999-05-17,1.7117,?
1999-05-18,1.7123,?
1999-05-19,1.7115,?
1999-05-20,1.7218,?
1999-05-21,1.722,?
1999-05-24,1.7206,?
1999-05-25,1.7216,?
1999-05-26,1.7233,?
1999-05-27,1.732,?
1999-05-28,1.7317,?
1999-05-31,1.725,?
1999-06-01,1.7269,?
1999-06-02,1.7232,?
1999-06-03,1.7248,?
1999-06-04,1.7263,?
1999-06-07,1.7267,?
1999-06-08,1.7248,?
1999-06-09,1.7127,?
1999-06-10,1.7124,?
1999-06-11,1.7143,?
1999-06-14,1.7115,?
1999-06-15,1.7131,?
1999-06-16,1.7107,?
1999-06-17,1.7049,?
1999-06-18,1.7019,?
1999-06-21,1.7048,?
1999-06-22,1.7097,?
1999-06-23,1.7,?
1999-06-24,1.7049,?
1999-06-25,1.7024,?
1999-06-28,1.7021,?
1999-06-29,1.7045,?
1999-06-30,1.7038,?
1999-07-01,1.7,?
1999-07-02,1.6981,?
1999-07-05,1.6999,?
1999-07-06,1.6976,?
1999-07-07,1.6996,?
1999-07-08,1.6958,?
1999-07-09,1.6977,?
1999-07-12,1.6987,?
1999-07-13,1.6995,?
1999-07-14,1.7007,?
1999-07-15,1.7032,?
1999-07-16,1.699,?
1999-07-19,1.7064,?
1999-07-20,1.703,?
1999-07-21,1.6977,?
1999-07-22,1.6973,?
1999-07-23,1.7012,?
1999-07-26,1.6980000000000002,?
1999-07-27,1.6836,?
1999-07-28,1.6881,?
1999-07-29,1.6795,?
1999-07-30,1.6892,?
1999-08-02,1.6853,?
1999-08-03,1.6789,?
1999-08-04,1.6840000000000002,?
1999-08-05,1.6776,?
1999-08-06,1.6759,?
1999-08-09,1.6665,?
1999-08-10,1.6664,?
1999-08-11,1.6651,?
1999-08-12,1.6716,?
1999-08-13,1.6763,?
1999-08-16,1.6744,?
1999-08-17,1.6702,?
1999-08-18,1.6816,?
1999-08-19,1.6767,?
1999-08-20,1.6756,?
1999-08-23,1.652,?
1999-08-24,1.6805,?
1999-08-25,1.6901,?
1999-08-26,1.6909999999999998,?
1999-08-27,1.6906,?
1999-08-30,1.6877,?
1999-08-31,1.6874,?
1999-09-01,1.6823,?
1999-09-02,1.6831,?
1999-09-03,1.6846,?
1999-09-06,1.6874,?
1999-09-07,1.6886,?
1999-09-08,1.6936,?
1999-09-09,1.6943,?
1999-09-10,1.6885,?
1999-09-13,1.6916,?
1999-09-14,1.6846,?
1999-09-15,1.6887,?
1999-09-16,1.6878,?
1999-09-17,1.6931,?
1999-09-20,1.6929,?
1999-09-21,1.6985,?
1999-09-22,1.699,?
1999-09-23,1.7067,?
1999-09-24,1.7156,?
1999-09-27,1.7087,?
1999-09-28,1.7041,?
1999-09-29,1.7162,?
1999-09-30,1.7089,?
1999-10-01,1.7001,?
1999-10-04,1.693,?
1999-10-05,1.6944,?
1999-10-06,1.6767,?
1999-10-07,1.6803,?
1999-10-08,1.6771,?
1999-10-11,1.6826,?
1999-10-12,1.6754,?
1999-10-13,1.6712,?
1999-10-14,1.6873,?
1999-10-15,1.6801,?
1999-10-18,1.6728,?
1999-10-19,1.6740000000000002,?
1999-10-20,1.6728,?
