Date,SIT,YTD
1999-01-05,160.35,?
1999-01-06,160.12,?
1999-01-07,160.69,?
1999-01-08,162.31,?
1999-01-11,161.97,?
1999-01-12,163.34,?
1999-01-13,164.53,?
1999-01-14,162.81,?
1999-01-15,162.14,?
1999-01-18,160.96,?
1999-01-19,163.07,?
1999-01-20,163.09,?
1999-01-21,163.34,?
1999-01-22,163.33,?
1999-01-25,162.93,?
1999-01-26,162.93,?
1999-01-27,163.69,?
1999-01-28,164.56,?
1999-01-29,166.21,?
1999-02-01,165.58,?
1999-02-02,167.11,?
1999-02-03,168.37,?
1999-02-04,168.02,?
1999-02-05,169.07,?
1999-02-08,168.51,?
1999-02-09,169.24,?
1999-02-10,168.23,?
1999-02-11,168.8,?
1999-02-12,168.14,?
1999-02-15,169.37,?
1999-02-16,168.68,?
1999-02-17,170.32,?
1999-02-18,168.98,?
1999-02-19,168.95,?
1999-02-22,169.96,?
1999-02-23,172.33,?
1999-02-24,173.27,?
1999-02-25,172.44,?
1999-02-26,172.5,?
1999-03-01,172.87,?
1999-03-02,173.28,?
1999-03-03,174.74,?
1999-03-04,174.53,?
1999-03-05,175.16,?
1999-03-08,175.91,?
1999-03-09,174.41,?
1999-03-10,174.75,?
1999-03-11,174.71,?
1999-03-12,174.58,?
1999-03-15,174.12,?
1999-03-16,174.34,?
1999-03-17,174.65,?
1999-03-18,173.2,?
1999-03-19,173.0,?
1999-03-22,174.42,?
1999-03-23,175.29,?
1999-03-24,174.89,?
1999-03-25,174.62,?
1999-03-26,175.1,?
1999-03-29,176.2,?
1999-03-30,177.35,?
1999-03-31,177.87,?
1999-04-01,177.93,?
1999-04-02,176.94,?
1999-04-05,176.81,?
1999-04-06,176.89,?
1999-04-07,177.9,?
1999-04-08,176.44,?
1999-04-09,176.53,?
1999-04-12,177.19,?
1999-04-13,176.17,?
1999-04-14,178.86,?
1999-04-15,179.33,?
1999-04-16,178.66,?
1999-04-19,180.31,?
1999-04-20,181.17,?
1999-04-21,180.9,?
1999-04-22,182.07,?
1999-04-23,181.25,?
1999-04-26,180.84,?
1999-04-27,181.82,?
1999-04-28,181.84,?
1999-04-29,181.01,?
1999-04-30,182.12,?
1999-05-03,182.4,?
1999-05-04,182.74,?
1999-05-05,183.17,?
1999-05-06,181.59,?
1999-05-07,179.38,?
1999-05-10,179.64,?
1999-05-11,180.36,?
1999-05-12,180.57,?
1999-05-13,182.33,?
1999-05-14,182.46,?
1999-05-17,181.52,?
1999-05-18,181.34,?
1999-05-19,181.29,?
1999-05-20,181.73,?
1999-05-21,182.24,?
1999-05-24,183.36,?
1999-05-25,183.2,?
1999-05-26,182.35,?
1999-05-27,183.14,?
1999-05-28,186.02,?
1999-05-31,185.19,?
1999-06-01,185.37,?
1999-06-02,186.26,?
1999-06-03,187.25,?
1999-06-04,187.29,?
1999-06-07,188.58,?
1999-06-08,188.47,?
1999-06-09,187.84,?
1999-06-10,186.43,?
1999-06-11,186.1,?
1999-06-14,186.25,?
1999-06-15,187.0,?
1999-06-16,188.66,?
1999-06-17,189.48,?
1999-06-18,189.5,?
1999-06-21,188.67,?
1999-06-22,188.76,?
1999-06-23,190.44,?
1999-06-24,190.5,?
1999-06-25,189.74,?
1999-06-28,190.11,?
1999-06-29,187.88,?
1999-06-30,189.12,?
1999-07-01,189.97,?
1999-07-02,191.43,?
1999-07-05,191.9,?
1999-07-06,192.03,?
1999-07-07,192.26,?
1999-07-08,192.39,?
1999-07-09,192.94,?
1999-07-12,192.49,?
1999-07-13,193.9,?
1999-07-14,193.41,?
1999-07-15,193.8,?
1999-07-16,193.21,?
1999-07-19,193.15,?
1999-07-20,194.2,?
1999-07-21,189.33,?
1999-07-22,188.43,?
1999-07-23,187.64,?
1999-07-26,187.77,?
1999-07-27,184.13,?
1999-07-28,185.45,?
1999-07-29,185.99,?
1999-07-30,184.86,?
1999-08-02,184.66,?
1999-08-03,185.09,?
1999-08-04,185.4,?
1999-08-05,183.28,?
1999-08-06,182.86,?
1999-08-09,183.0,?
1999-08-10,184.18,?
1999-08-11,183.78,?
1999-08-12,185.01,?
1999-08-13,185.51,?
1999-08-16,184.93,?
1999-08-17,186.79,?
1999-08-18,187.18,?
1999-08-19,187.65,?
1999-08-20,187.19,?
1999-08-23,184.5,?
1999-08-24,185.56,?
1999-08-25,187.05,?
1999-08-26,188.43,?
1999-08-27,187.94,?
1999-08-30,188.19,?
1999-08-31,187.99,?
1999-09-01,185.94,?
1999-09-02,185.23,?
1999-09-03,184.36,?
1999-09-06,183.97,?
1999-09-07,185.46,?
1999-09-08,185.99,?
1999-09-09,185.17,?
1999-09-10,185.45,?
1999-09-13,186.69,?
1999-09-14,189.95,?
1999-09-15,189.57,?
1999-09-16,189.61,?
1999-09-17,189.27,?
1999-09-20,188.96,?
1999-09-21,188.65,?
1999-09-22,189.09,?
1999-09-23,186.98,?
1999-09-24,187.98,?
1999-09-27,187.3,?
1999-09-28,188.23,?
1999-09-29,186.97,?
1999-09-30,185.45,?
1999-10-01,183.79,?
1999-10-04,182.68,?
1999-10-05,184.11,?
1999-10-06,184.14,?
1999-10-07,184.02,?
1999-10-08,183.33,?
1999-10-11,184.09,?
1999-10-12,184.98,?
1999-10-13,184.61,?
1999-10-14,182.62,?
1999-10-15,182.98,?
1999-10-18,181.18,?
1999-10-19,181.16,?
1999-10-20,181.28,?
1999-10-21,182.69,?
1999-10-22,182.23,?
1999-10-25,182.91,?
1999-10-26,184.35,?
1999-10-27,185.04,?
1999-10-28,186.54,?
1999-10-29,186.8,?
1999-11-01,188.1,?
1999-11-02,185.98,?
1999-11-03,187.2,?
1999-11-04,187.52,?
1999-11-05,187.24,?
1999-11-08,189.09,?
1999-11-09,189.28,?
1999-11-10,188.9,?
1999-11-11,189.33,?
1999-11-12,189.34,?
1999-11-15,191.14,?
1999-11-16,191.3,?
1999-11-17,190.58,?
1999-11-18,189.26,?
1999-11-19,189.53,?
1999-11-22,191.34,?
1999-11-23,190.78,?
1999-11-24,190.63,?
1999-11-25,192.44,?
1999-11-26,193.03,?
1999-11-29,194.79,?
1999-11-30,195.38,?
1999-12-01,194.87,?
1999-12-02,195.11,?
1999-12-03,195.84,?
1999-12-06,196.94,?
1999-12-07,193.75,?
1999-12-08,192.92,?
1999-12-09,193.12,?
1999-12-10,194.35,?
1999-12-13,195.2,?
1999-12-14,195.39,?
1999-12-15,197.47,?
1999-12-16,198.29,?
1999-12-17,196.36,?
1999-12-20,196.57,?
1999-12-21,196.98,?
