Date,ZAR,YTD
1999-01-05,5.8833,?
1999-01-06,5.7655,?
1999-01-07,5.7317,?
1999-01-08,5.8703,?
1999-01-11,5.82,?
1999-01-12,5.87,?
1999-01-13,6.04,?
1999-01-14,6.1770000000000005,?
1999-01-15,6.12,?
1999-01-18,6.21,?
1999-01-19,5.9935,?
1999-01-20,6.04,?
1999-01-21,6.0,?
1999-01-22,6.0315,?
1999-01-25,6.0776,?
1999-01-26,6.0636,?
1999-01-27,6.04,?
1999-01-28,6.0427,?
1999-01-29,6.06,?
1999-02-01,6.0439,?
1999-02-02,6.035,?
1999-02-03,6.01,?
1999-02-04,6.01,?
1999-02-05,6.0305,?
1999-02-08,6.0325,?
1999-02-09,5.954,?
1999-02-10,6.0875,?
1999-02-11,6.1154,?
1999-02-12,6.0621,?
1999-02-15,6.0975,?
1999-02-16,6.1238,?
1999-02-17,6.1917,?
1999-02-18,6.13,?
1999-02-19,6.19,?
1999-02-22,6.2325,?
1999-02-23,6.2327,?
1999-02-24,6.228,?
1999-02-25,6.1494,?
1999-02-26,6.1875,?
1999-03-01,6.1775,?
1999-03-02,6.1638,?
1999-03-03,6.2383,?
1999-03-04,6.2284,?
1999-03-05,6.2395,?
1999-03-08,6.2158,?
1999-03-09,6.1532,?
1999-03-10,6.1475,?
1999-03-11,6.1625,?
1999-03-12,6.1775,?
1999-03-15,6.1575,?
1999-03-16,6.2203,?
1999-03-17,6.2549,?
1999-03-18,6.255,?
1999-03-19,6.2388,?
1999-03-22,6.2217,?
1999-03-23,6.1722,?
1999-03-24,6.1968,?
1999-03-25,6.215,?
1999-03-26,6.2221,?
1999-03-29,6.2025,?
1999-03-30,6.2475,?
1999-03-31,6.223,?
1999-04-01,6.19,?
1999-04-02,6.1735,?
1999-04-05,6.1652,?
1999-04-06,6.17,?
1999-04-07,6.2175,?
1999-04-08,6.175,?
1999-04-09,6.2325,?
1999-04-12,6.1878,?
1999-04-13,6.1709,?
1999-04-14,6.2212,?
1999-04-15,6.0975,?
1999-04-16,6.09,?
1999-04-19,6.1296,?
1999-04-20,6.0745,?
1999-04-21,6.0688,?
1999-04-22,6.0825,?
1999-04-23,6.0825,?
1999-04-26,6.1089,?
1999-04-27,6.075,?
1999-04-28,6.0643,?
1999-04-29,6.0681,?
1999-04-30,6.0625,?
1999-05-03,6.1038,?
1999-05-04,6.0731,?
1999-05-05,6.0769,?
1999-05-06,6.0925,?
1999-05-07,6.0865,?
1999-05-10,6.14,?
1999-05-11,6.1425,?
1999-05-12,6.1835,?
1999-05-13,6.2044,?
1999-05-14,6.251,?
1999-05-17,6.1731,?
1999-05-18,6.2175,?
1999-05-19,6.1672,?
1999-05-20,6.1875,?
1999-05-21,6.22,?
1999-05-24,6.1925,?
1999-05-25,6.2175,?
1999-05-26,6.2387,?
1999-05-27,6.2652,?
1999-05-28,6.2575,?
1999-05-31,6.2549,?
1999-06-01,6.215,?
1999-06-02,6.2125,?
1999-06-03,6.1965,?
1999-06-04,6.21,?
1999-06-07,6.18,?
1999-06-08,6.1356,?
1999-06-09,6.0866,?
1999-06-10,6.1162,?
1999-06-11,6.1355,?
1999-06-14,6.1177,?
1999-06-15,6.085,?
1999-06-16,6.098,?
1999-06-17,6.1294,?
1999-06-18,6.08,?
1999-06-21,5.965,?
1999-06-22,6.0221,?
1999-06-23,5.9909,?
1999-06-24,6.0168,?
1999-06-25,6.0334,?
1999-06-28,6.0417,?
1999-06-29,6.0615,?
1999-06-30,6.055,?
1999-07-01,6.0632,?
1999-07-02,6.0035,?
1999-07-05,6.0436,?
1999-07-06,6.0187,?
1999-07-07,6.0164,?
1999-07-08,6.0366,?
1999-07-09,6.06,?
1999-07-12,6.0774,?
