AUD,CAD,CHF,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,NOK,NZD,PLN,SEK,SGD,ZAR
1.3258,1.3155,0.96039,23.844,6.5642,0.88215,0.7128399999999999,7.7564,275.52,110.38,1163.0,8.3592,1.4736,3.7611,8.1711,1.3561,15.243
1.3281,1.3117,0.9577600000000001,23.781,6.5485,0.87997,0.71038,7.7586,274.8,108.37,1159.9,8.3198,1.4723,3.7692,8.1463,1.3524,15.238
1.3281,1.3078,0.9569700000000001,23.781,6.5492,0.88005,0.7104600000000001,7.7589999999999995,275.17,108.56,1153.2,8.2886,1.4747,3.7801,8.1781,1.3496,15.068
1.3222,1.2989,0.95496,23.728,6.5342,0.8779600000000001,0.7029,7.7543,273.99,108.24,1147.1,8.2361,1.4635,3.7571,8.1488,1.3469,14.745999999999999
1.3059,1.2876,0.95419,23.719,6.5316,0.8775,0.7006,7.7546,273.24,108.32,1143.3,8.2059,1.4514,3.7665,8.0851,1.3473,14.689
1.3071,1.2804,0.96362,23.93,6.5878,0.8851100000000001,0.70267,7.7569,275.03,109.28,1149.0,8.2415,1.446,3.7944,8.1218,1.3511,14.722999999999999
1.2984,1.2828,0.9667600000000001,24.021,6.6135,0.8887299999999999,0.70707,7.7571,276.62,109.39,1154.0,8.2332,1.4571,3.8208,8.139,1.3638,14.57
1.2981,1.2881,0.96765,23.95,6.5946,0.88621,0.7052,7.7567,275.2,108.92,1147.7,8.2457,1.4475,3.8078,8.1445,1.3586,14.571
1.2989,1.2924,0.9655100000000001,23.901,6.5821,0.88449,0.7056399999999999,7.7559,274.48,108.19,1149.5,8.2545,1.442,3.8085,8.1327,1.3557,14.599
1.2825,1.2711,0.96288,23.822,6.5611,0.8816,0.69624,7.7555,273.75,109.41,1126.1,8.1617,1.4218,3.7933,8.0907,1.3398,14.285
1.2792,1.2673,0.9613299999999999,23.746,6.541,0.8788100000000001,0.69514,7.7574,271.6,109.15,1129.3,8.1146,1.4264,3.7679,8.0537,1.3398,14.203
1.2766,1.2634,0.96777,23.799,6.5531,0.8806700000000001,0.69303,7.7576,273.62,109.64,1132.9,8.1035,1.4321,3.7944,8.0885,1.3432,14.179
1.2936,1.2734,0.97585,24.013,6.6069,0.88786,0.6955100000000001,7.7571,275.33,110.86,1143.0,8.2077,1.4529,3.8627,8.1134,1.3505,14.37
1.295,1.2683,0.9741700000000001,24.011999999999997,6.6067,0.8877799999999999,0.68928,7.7568,276.37,110.93,1146.6,8.2329,1.4559,3.8983,8.1294,1.3508,14.482999999999999
1.2935,1.2648,0.97457,23.945,6.5932,0.8859799999999999,0.68648,7.7563,276.6,111.15,1151.0,8.1756,1.4545,3.8805,8.1107,1.3538,14.485
1.3169,1.2583,0.9730200000000001,23.918000000000003,6.5848,0.8847200000000001,0.6854399999999999,7.7564,276.14,111.29,1149.7,8.1406,1.4601,3.8855,8.1052,1.3493,14.466
